Gene	1464_lt_granule	1465_lt_basket	1463_lt_glia	1468_zh_granule	1469_zh_basket	1467_zh_glia	1410_sg_granule	1426_sg_basket	1394_sg_glia	1411_or_granule	1427_or_basket	1395_or_glia
MIR532	0	0	0	0	0	0	0	0	0	0	0	0
MIR500B	0	0	0	0	0	0	0	0	0	0	0	0
MIR188	0	0	0	0	0	0	0	0	0	0	0	0
MIR501	0	0	0	0	0	0	0	0	0	0	0	0
BMP15	0	0	0	0	0	0	0	0	0	0	0	1
NUDT10	68	45	15	120	30	20	136	40	10	95	77	74
CXorf67	6	0	16	10	5	4	8	4	23	18	3	49
LINC01496	10	9	16	13	10	22	18	8	33	21	55	48
NUDT11	52	28	19	103	17	23	96	112	11	51	32	58
GSPT2	26	32	18	22	29	28	64	50	19	38	71	153
CENPVP2	0	0	0	0	0	0	0	0	0	0	0	0
CENPVP1	0	0	0	0	0	0	0	0	0	0	0	0
MAGED1	3042	2777	1743	2800	2104	1342	6779	5635	1258	4051	4473	7326
MAGED4B	0	0	0	0	0	0	0	0	0	0	0	0
MAGED4	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11D	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11E	0	0	0	0	0	0	0	0	0	0	0	0
MIR8088	0	0	0	0	0	0	0	0	0	0	0	1
XAGE2	0	0	0	0	0	0	0	1	0	0	0	2
XAGE1B	0	0	0	0	0	0	0	0	0	0	0	0
XAGE1E	0	0	0	0	0	0	0	0	0	0	0	0
SSX7	1	1	0	0	0	0	1	1	0	0	0	2
SSX8	0	0	0	0	0	0	1	0	1	0	1	1
SSX2B	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN5	0	0	0	0	0	0	0	0	0	0	0	0
SSX2	0	0	0	0	0	0	0	0	0	0	0	0
XAGE5	0	0	0	0	0	0	0	1	0	0	0	1
XAGE3	0	0	0	0	0	0	0	1	0	0	0	0
GPR173	701	339	1288	800	306	1246	1772	513	1405	1139	583	7900
MIR6895	0	0	0	0	0	0	0	0	0	0	0	0
MIR6894	0	0	0	0	0	0	0	0	0	0	0	0
KANTR	1878	1484	983	1731	1178	832	4174	2760	929	2251	2346	5067
IQSEC2	1591	619	579	1589	505	640	3208	1136	842	2446	1005	3247
RIBC1	15	6	25	25	22	40	65	79	56	33	16	160
SMC1A	1406	1002	824	1307	983	895	2759	1185	746	2453	1203	7192
HSD17B10	7	15	24	8	16	19	22	47	3	43	10	238
MIR6857	0	0	0	0	0	0	0	0	0	0	0	0
MIRLET7F2	0	0	0	0	0	0	0	0	0	0	0	0
MIR98	0	0	0	0	0	0	0	0	0	0	0	0
FGD1	264	438	152	331	328	171	652	677	201	523	572	863
TSR2	101	119	40	88	100	41	261	161	39	178	220	410
GNL3L	341	308	469	409	277	528	737	450	494	474	592	2827
MAGED2	40	60	87	43	72	87	96	294	110	89	165	788
SNORA11	0	0	0	0	0	0	0	0	0	0	0	0
TRO	80	165	283	66	213	216	212	498	282	156	553	1903
ALAS2	25	7	26	22	11	47	54	25	40	15	20	157
PFKFB1	73	63	215	60	98	178	125	165	120	74	86	905
APEX2	28	4	44	77	32	74	66	56	58	63	47	445
FAM104B	91	107	104	73	71	73	229	127	45	107	100	380
PAGE2	0	0	0	0	0	0	1	0	1	0	0	2
PAGE2B	0	0	0	0	0	0	1	0	0	0	0	2
PAGE3	0	1	0	0	0	0	0	0	0	0	0	0
MTRNR2L10	15	43	6	61	291	15	132	108	15	50	63	96
PAGE5	0	0	0	0	0	0	0	0	0	0	0	0
LOC100421746	2	2	2	1	0	1	4	2	1	1	1	4
SNORA109	2	1	1	1	13	1	19	8	1	3	6	6
USP51	55	47	56	59	50	46	128	113	20	83	100	287
MAGEH1	50	114	83	62	39	45	80	74	19	91	87	284
MIR4536-2	0	0	0	0	0	0	0	0	0	0	0	0
MIR4536-1	0	0	0	0	0	0	0	0	0	0	0	0
FOXR2	0	0	0	0	0	0	0	0	0	0	0	0
RRAGB	752	611	617	636	421	633	1511	968	558	943	781	4153
KLF8	319	86	111	293	95	92	473	92	55	277	124	567
UBQLN2	301	273	148	557	276	140	852	198	110	531	480	684
UQCRBP1	0	0	0	0	0	0	0	0	0	0	0	0
SPIN3	433	184	187	385	189	177	857	470	209	627	252	872
SPIN2A	32	23	25	52	34	28	88	43	33	52	72	205
SPIN2B	7	3	9	6	5	11	17	12	10	13	13	22
ZXDB	342	205	160	311	80	136	596	212	68	515	159	619
NLRP2P	2	7	2	10	9	1	6	6	0	5	21	23
ZXDA	171	104	90	166	57	127	353	119	55	266	132	771
SPIN4	127	159	139	108	224	127	262	407	285	109	343	571
ARHGEF9-IT1	0	0	0	0	0	0	0	0	0	0	0	0
MIR1468	0	0	0	0	0	0	0	0	0	0	0	0
AMER1	73	75	44	92	125	80	205	169	35	186	177	430
LAS1L	914	560	918	1047	570	600	2456	1516	951	1651	1195	4380
ZC3H12B	237	167	131	308	168	141	523	408	97	413	244	678
FRMD8P1	0	1	0	0	0	0	0	0	0	0	0	1
MSN	12	18	554	5	47	999	13	21	731	16	81	4658
VSIG4	0	2	27	0	1	10	1	0	2	1	0	114
MIR223	0	0	2	0	0	0	0	0	0	0	0	2
EDA2R	1	0	73	2	5	60	2	3	21	2	2	490
YIPF6	703	542	627	490	428	389	1166	790	385	825	985	2883
EFNB1	6	5	11	16	5	18	32	6	9	10	23	19
PJA1	37	19	40	52	40	46	136	90	38	101	77	144
FAM155B	132	155	41	156	184	41	407	315	73	317	345	310
MIR676	0	0	0	0	0	0	0	0	0	0	0	0
AWAT2	0	0	0	0	0	0	1	0	0	0	1	7
OTUD6A	0	0	0	0	0	0	1	1	0	0	1	0
IGBP1	237	306	297	218	199	331	534	497	332	372	325	2013
DGAT2L6	60	67	99	24	45	144	83	130	73	47	52	837
AWAT1	6	19	10	3	14	32	27	27	27	9	35	205
RAB41	11	23	16	4	13	28	12	9	6	5	9	49
PDZD11	11	55	36	14	37	20	25	35	17	31	34	249
ARR3	35	49	97	30	55	169	70	152	150	34	106	757
P2RY4	2	4	3	2	7	9	2	2	1	1	4	73
DLG3-AS1	0	0	0	0	0	0	0	0	0	0	0	0
DLG3	688	785	376	823	663	446	1096	1409	261	1008	1266	2278
GDPD2	3	4	65	9	20	41	19	12	87	7	33	384
SLC7A3	0	0	0	0	0	0	0	0	0	0	0	0
SNX12	119	180	66	104	101	64	190	175	48	213	198	351
FOXO4	13	14	47	19	8	92	30	26	26	41	5	313
NLGN3	174	364	1037	173	390	986	426	779	1397	388	705	7763
IL2RG	0	0	0	1	0	5	3	0	1	1	1	1
MED12	195	208	432	242	192	406	572	499	562	495	524	3226
CXorf65	0	0	0	1	1	2	1	0	0	0	0	1
ZMYM3	115	246	309	145	274	295	294	686	314	296	569	2201
NONO	462	405	371	406	326	426	969	509	303	816	541	2311
GJB1	0	1	154	4	3	86	2	3	48	3	7	958
INGX	0	0	0	0	0	0	0	0	0	0	0	0
ACRC	233	169	217	226	171	227	330	365	235	277	324	1309
CXCR3	3	0	3	0	1	3	7	19	2	1	7	6
LOC100132741	0	0	0	0	0	0	0	0	0	0	0	0
CXorf49B	0	0	0	0	0	0	0	0	0	0	0	0
CXorf49	0	0	0	0	0	0	0	0	0	0	0	0
LINC00891	0	0	0	0	0	0	0	0	0	0	0	0
RPS26P11	0	0	0	0	0	0	0	0	0	0	0	0
FLJ44635	1463	629	77	1387	323	39	2873	632	59	2591	1048	309
RGAG4	0	0	0	0	0	0	0	0	0	0	0	0
CITED1	4	30	0	4	38	0	4	19	2	11	43	15
RPS4X	79	81	49	91	83	61	142	129	42	251	169	542
LOC101928259	0	0	0	0	0	0	0	0	0	0	0	0
DMRTC1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00684	0	0	0	0	0	0	0	0	0	0	0	0
DMRTC1B	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132304	0	0	0	0	0	0	0	0	0	0	0	0
FAM226A	0	0	0	0	0	0	0	0	0	0	0	0
FAM226B	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1L2B-AS1	10	2	2	6	6	3	16	5	2	9	4	6
PABPC1L2B	56	34	6	63	43	8	100	24	2	85	87	14
NAP1L6	2	1	2	2	1	0	2	0	1	2	0	2
PABPC1L2A	65	37	2	75	28	4	123	73	14	102	63	24
NAP1L2	250	301	27	223	177	36	512	370	39	363	192	225
CDX4	0	0	0	0	0	0	0	1	1	0	0	0
XIST	30	15	30	41288	22674	33322	13	11	20	47853	34508	138306
ZCCHC13	0	0	0	0	0	0	0	0	0	0	0	0
MIR421	0	0	0	0	0	0	0	0	0	0	0	0
MIR374C	0	0	0	0	0	0	0	0	0	0	0	0
MIR545	0	0	0	0	0	0	0	0	0	0	0	0
MIR374B	0	0	0	0	0	0	0	0	0	0	0	0
MIR374A	0	0	0	0	0	0	0	0	0	0	0	0
RLIM	469	506	357	428	285	379	925	616	249	772	556	2020
UPRT	292	183	363	352	179	344	478	354	303	307	338	1345
TTC3P1	62	48	50	46	49	62	138	123	71	105	60	223
MAGEE2	26	28	9	23	14	12	58	47	7	48	54	45
PBDC1	21	26	11	37	31	17	54	13	31	47	22	182
MAGEE1	66	74	11	41	57	20	158	149	3	83	55	78
MIR384	0	0	0	0	0	0	0	0	0	0	0	0
MIR325	0	0	0	0	0	0	0	0	0	0	0	0
FGF16	0	0	0	0	0	0	1	0	0	0	0	0
COX7B	56	57	97	50	38	100	124	180	64	79	204	425
PGAM4	0	0	0	0	0	0	0	0	0	0	0	0
TAF9B	220	172	157	292	194	268	514	266	156	311	280	709
CYSLTR1	18	27	27	15	15	21	22	34	20	12	65	174
LPAR4	0	3	17	0	6	39	1	0	44	0	1	149
ZCCHC5	0	0	0	0	0	0	0	0	0	1	0	0
MIR4328	0	0	0	0	0	0	0	0	0	0	0	0
P2RY10	0	6	1	3	1	1	2	0	1	2	2	6
GPR174	0	0	0	0	0	0	0	0	0	0	0	0
ITM2A	0	3	76	0	0	78	0	0	24	0	2	340
TBX22	0	0	1	1	0	0	3	1	0	0	0	2
CHMP1B2P	18	7	61	10	8	29	11	18	25	14	18	110
POU3F4	0	0	36	0	3	76	1	0	101	1	1	350
MIR548I4	0	0	1	0	0	0	0	0	0	0	0	2
SATL1	14	7	4	10	20	1	23	30	1	23	14	36
ZNF711	311	205	296	480	184	249	570	304	287	453	295	1142
LOC101928128	25	7	2	21	21	0	40	31	0	30	12	4
MIR1321	0	0	0	0	0	0	0	0	0	0	0	0
MIR361	0	0	0	0	0	0	0	0	0	0	0	0
CPXCR1	1	0	2	1	1	2	1	2	2	1	2	4
TGIF2LX	0	0	0	0	0	0	0	0	0	0	0	0
PABPC5-AS1	5	8	3	2	17	8	19	69	2	3	43	26
PABPC5	6	9	28	13	24	22	10	11	24	8	25	44
FAM133A	171	80	170	181	146	99	225	225	111	136	207	731
NAP1L3	349	318	80	390	263	43	545	273	31	519	288	325
MIR548M	0	0	0	0	0	0	0	0	0	0	0	0
BRDTP1	0	0	0	0	0	0	0	0	0	0	2	0
RPA4	0	0	0	0	0	0	0	0	0	0	0	0
DIAPH2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN6	0	11	47	3	0	45	0	26	28	1	14	274
TNMD	0	0	1	0	10	10	0	5	8	0	9	67
SYTL4	1	4	387	4	24	909	4	13	716	3	40	2472
NOX1	15	10	7	9	5	9	26	22	7	30	35	31
CSTF2	126	57	84	124	53	42	357	177	60	211	111	455
TRMT2B	79	90	307	111	112	365	149	114	445	118	346	2546
ARL13A	9	10	52	30	28	100	36	37	58	18	21	453
TMEM35	113	137	23	142	122	49	279	267	47	200	249	115
CENPI	30	46	157	19	26	158	50	48	78	31	67	792
DRP2	0	39	50	1	86	111	0	112	83	1	135	606
TAF7L	2	8	3	2	8	15	3	10	5	2	39	41
HNRNPH2	0	0	0	0	0	0	0	0	0	0	0	0
RPL36A	0	0	0	0	0	0	0	0	0	0	0	0
GLA	0	0	0	0	0	0	0	0	0	0	0	0
TIMM8A	6	8	5	8	8	10	9	4	2	9	0	15
BTK	7	5	9	7	5	16	2	6	2	2	10	67
RPL36A-HNRNPH2	9	0	2	53	5	14	12	5	1	9	11	62
ARMCX1	22	52	50	74	41	63	62	89	51	72	67	223
ARMCX3	208	229	179	275	142	217	464	301	146	317	241	1058
ARMCX2	64	55	83	69	43	63	143	170	36	84	62	283
ARMCX6	0	3	6	5	6	10	4	2	8	7	11	82
ZMAT1	903	769	3722	691	776	2691	1828	1409	3578	915	1150	14346
TCEAL6	49	82	13	91	61	10	96	134	15	86	95	77
TCEAL2	199	357	86	239	298	91	345	263	80	296	336	298
BEX5	20	16	3	78	15	11	49	28	13	43	19	46
TCP11X2	0	1	0	0	0	1	1	2	0	1	0	3
ARMCX5	0	0	0	0	0	0	0	0	0	0	0	0
TMSB15A	0	0	0	0	0	1	0	0	1	0	0	0
NXF4	2	1	6	0	0	2	1	1	0	2	3	13
GPRASP1	0	0	0	0	0	0	0	0	0	0	0	0
BHLHB9	669	495	336	1107	464	490	1343	844	383	946	966	1991
GPRASP2	0	0	0	0	0	0	0	0	0	0	0	0
LINC00630	1879	1351	1456	1861	1261	1522	3246	2590	1269	2121	2584	6956
RAB40AL	3	2	2	5	4	9	7	1	8	4	7	28
NXF3	2	3	6	6	2	5	4	8	3	2	4	23
BEX1	128	298	75	206	82	38	263	300	27	334	361	322
TCEAL5	80	135	38	370	128	38	167	87	17	123	146	150
TCEAL8	67	54	38	98	52	44	135	51	10	80	72	62
BEX4	186	224	121	190	181	113	314	389	48	235	335	572
TCEAL9	38	10	42	171	40	145	69	33	44	55	34	212
BEX2	154	360	94	222	99	85	187	224	25	324	335	752
BEX3	178	263	85	163	117	56	223	217	33	260	267	660
TCEAL7	71	74	52	332	52	116	85	71	22	89	99	266
RAB40A	114	262	143	152	206	138	249	412	139	103	205	582
TCEAL4	208	379	237	220	269	235	419	228	200	270	407	1383
TCEAL3	42	101	42	85	96	53	137	157	58	109	188	383
TCEAL1	65	58	38	55	76	58	115	117	40	121	129	267
PLP1	192	233	15061	190	580	4181	653	813	5644	345	963	90446
TMEM31	0	0	0	0	0	0	0	0	0	0	0	0
GLRA4	15	14	14	17	16	8	14	24	11	28	4	41
MORF4L2-AS1	31	21	43	54	13	59	63	51	38	53	17	189
RAB9B	346	416	134	413	386	170	785	887	265	485	596	632
H2BFXP	0	0	0	0	0	0	0	0	0	0	0	0
H2BFM	0	0	0	0	1	0	0	0	0	1	0	0
TMSB15B	0	3	0	1	1	1	7	6	2	5	1	1
LOC100101478	0	0	0	0	0	0	0	0	0	0	0	0
H2BFWT	0	0	0	0	1	0	1	0	0	0	8	1
ZCCHC18	0	0	0	0	0	0	0	0	0	0	0	0
LOC286437	0	0	0	0	0	0	0	0	0	0	0	0
FAM199X	632	580	612	681	500	581	1391	1096	461	776	896	2582
SLC25A53	754	586	742	823	454	829	1552	988	837	1061	1067	4579
ESX1	0	1	0	0	0	0	1	0	0	0	0	2
TEX13A	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AN	0	0	0	0	0	0	0	0	0	0	0	0
CXorf57	3	14	193	6	12	314	8	10	142	3	5	923
RNF128	13	225	75	40	168	84	33	406	123	14	264	410
CLDN2	11	20	10	10	31	7	28	28	12	12	65	155
RIPPLY1	0	0	0	0	0	0	0	0	0	0	0	1
NUP62CL	14	75	17	13	59	29	30	169	29	20	144	68
FRMPD3	490	430	51	410	344	55	812	655	43	763	528	177
FRMPD3-AS1	113	119	8	107	53	7	161	77	2	125	147	16
PRPS1	148	119	106	172	124	162	243	153	55	205	151	538
LOC101928335	3	10	3	3	7	1	8	13	0	4	9	4
TEX13B	1	0	0	0	1	0	0	1	0	0	0	0
VSIG1	0	0	1	3	4	5	5	2	1	5	4	4
PSMD10	63	108	59	78	64	37	110	86	63	92	71	219
LOC101928358	1	0	3	0	0	1	0	0	0	0	0	24
IRS4	0	0	11	0	0	5	0	0	0	0	0	44
MIR6087	0	0	0	0	1	1	0	0	0	0	0	4
NXT2	5	3	18	5	7	18	7	1	41	10	5	100
KCNE5	1	0	13	0	0	7	0	0	10	0	1	116
MIR3978	0	0	0	0	0	0	0	0	0	0	0	0
MIR652	0	0	0	0	0	0	0	0	0	0	0	0
SNORD96B	0	0	0	0	0	0	0	0	0	0	0	0
RGAG1	5	75	8	5	58	1	25	143	3	17	202	67
TDGF1P3	1	1	1	0	4	0	4	9	0	0	2	1
CAPN6	0	6	0	1	4	3	1	0	0	0	2	2
LINC00890	0	0	0	0	0	0	0	0	0	0	0	0
ALG13	1665	1114	1425	1985	1268	1135	3654	2945	832	1987	2125	7326
TRPC5OS	0	0	0	0	0	0	0	0	0	0	0	0
LHFPL1	1	29	9	3	25	7	8	47	5	1	34	50
MIR4329	0	0	0	0	0	0	0	0	0	0	0	0
AMOT	2	184	376	16	128	538	20	306	397	14	298	2963
MIR1912	0	0	0	0	0	0	0	0	0	0	0	0
MIR764	0	0	0	0	0	0	0	0	0	0	0	0
SNORA35	0	0	0	0	0	0	0	0	0	0	0	0
MIR1264	0	0	0	0	0	0	0	0	0	0	0	0
MIR1911	0	0	0	0	0	0	0	0	0	0	0	0
MIR1298	0	0	0	0	0	0	0	0	0	0	0	0
MIR448	0	0	0	0	0	0	0	0	0	0	0	0
IL13RA2	0	1	3	1	1	4	3	1	26	0	4	21
RBMXL3	0	0	0	0	0	0	0	0	0	0	0	0
LUZP4	1	0	0	0	0	1	0	0	1	0	0	2
PLS3-AS1	1	4	125	0	8	125	7	5	172	2	2	695
AGTR2	0	0	0	0	1	0	0	0	0	0	0	0
SLC6A14	0	1	1	0	0	0	1	1	0	0	1	1
CT83	0	0	0	0	0	0	0	0	0	0	0	1
MIR1277	0	0	0	0	0	0	0	0	0	0	0	0
ZCCHC12	65	29	4	91	6	3	91	21	24	144	6	44
LINC01285	40	85	395	29	68	300	46	155	297	51	164	2084
PGRMC1	295	354	281	458	238	196	664	542	174	423	417	1776
LOC101928336	5	8	5	5	4	1	7	11	9	10	22	118
SLC25A5	44	84	32	65	58	51	94	86	96	105	144	181
SLC25A5-AS1	8	2	6	2	3	25	11	29	41	10	15	45
NKRF	257	276	171	1059	283	568	438	494	67	318	401	931
UBE2A	235	104	243	496	174	406	518	224	302	292	274	1241
MIR766	0	0	0	0	0	0	0	0	0	0	0	0
CXorf56	121	182	125	171	61	159	232	181	154	178	224	855
RPL39	5	14	12	18	6	26	21	31	4	18	5	87
SOWAHD	0	0	0	0	1	0	0	0	1	0	0	0
SNORA69	0	0	0	0	0	0	0	0	0	0	0	0
UPF3B	525	404	423	463	481	372	999	511	318	613	509	2420
RNF113A	13	4	7	7	10	2	26	6	1	13	18	35
AKAP14	9	8	6	8	19	6	29	20	14	28	32	101
NDUFA1	68	97	54	66	49	41	138	227	99	135	122	410
RHOXF1P1	2	1	1	0	1	2	0	0	0	0	0	0
RHOXF2B	0	0	0	0	0	0	0	0	0	0	0	0
RHOXF1	0	0	0	0	0	0	0	0	0	0	0	0
RHOXF2	0	0	0	0	0	0	0	0	0	0	0	0
LINC01402	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB33	126	107	92	136	124	69	415	162	76	224	162	331
TMEM255A	9	6	540	20	7	515	11	3	758	9	23	2276
NKAPP1	178	65	113	493	281	191	947	544	213	543	619	761
ATP1B4	0	1	1	0	0	0	0	1	3	1	1	3
CUL4B	662	388	498	618	363	468	1308	734	429	906	719	2392
MCTS1	280	240	164	255	264	198	599	601	245	311	464	1407
C1GALT1C1	22	25	23	27	17	18	44	17	13	32	29	284
CT47A7	0	0	0	0	0	0	0	0	0	0	0	0
CT47B1	0	1	0	0	0	0	0	0	1	0	0	0
GLUD2	2	0	7	0	1	7	1	1	3	2	1	40
MIR3672	0	1	2	0	2	2	0	1	1	0	0	18
LOC101928402	0	5	11	2	0	9	3	0	3	6	6	29
SH2D1A	23	4	4	16	4	7	47	12	3	21	23	12
TEX13C	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928495	0	0	0	0	0	0	0	0	0	0	0	2
DCAF12L2	0	3	0	0	0	0	0	0	0	0	7	9
DCAF12L1	0	1	0	2	2	1	0	0	0	0	1	2
PRR32	0	1	0	0	0	0	0	0	0	0	0	20
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0
OCRL	535	597	559	579	445	529	1163	1018	493	793	903	3132
APLN	2	2	23	4	3	15	17	1	18	22	34	133
ZDHHC9	294	307	2087	327	291	1030	604	554	592	422	519	9488
SASH3	2	0	10	2	3	7	2	3	4	1	1	45
UTP14A	127	74	694	114	77	259	208	134	166	196	136	2310
ELF4	2	10	43	6	9	39	9	11	71	7	7	519
RAB33A	63	49	143	165	38	212	121	120	130	78	81	604
ZNF280C	422	302	409	460	300	350	819	618	438	555	492	2283
SLC25A14	254	247	131	216	143	140	464	411	108	374	415	871
GPR119	0	0	0	0	0	0	0	0	0	0	1	0
RBMX2	122	199	158	110	163	137	226	268	166	170	270	831
FAM45BP	1	8	1	3	0	1	7	1	3	2	4	9
LINC01201	0	0	3	0	2	5	2	1	1	0	2	20
IGSF1	1	5	31	0	7	41	0	27	39	0	1	217
OR13H1	0	0	0	0	0	0	0	0	0	0	0	0
STK26	146	60	6	259	69	7	347	90	0	201	122	12
RAP2C	83	119	106	112	47	119	178	151	57	158	145	529
HS6ST2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
USP26	0	0	0	0	0	0	0	0	0	0	0	0
TFDP3	0	0	0	0	0	0	0	0	0	0	0	0
GPC4	6	14	504	10	19	762	10	10	685	8	25	2093
MIR19B2	0	0	0	0	0	0	0	0	0	0	0	0
MIR363	0	0	0	0	0	0	0	0	0	0	0	0
MIR20B	0	0	0	0	0	0	0	0	0	0	0	0
MIR18B	0	0	0	0	0	0	0	0	0	0	0	0
MIR106A	0	0	0	0	0	0	0	0	0	0	0	0
MIR92A2	0	0	0	0	0	0	0	0	0	0	0	0
CCDC160	0	0	58	0	1	90	0	1	86	0	2	221
PHF6	690	390	490	701	366	483	1265	625	415	820	670	2348
MIR424	0	0	0	0	0	0	1	0	0	0	0	0
MIR450A1	0	0	0	0	0	0	1	0	0	0	0	0
MIR503	0	0	0	0	0	0	0	0	0	0	0	0
MIR450A2	0	0	0	0	0	0	1	0	0	0	0	0
MIR450B	0	0	0	0	0	0	1	0	0	0	0	0
MIR542	2	4	2	3	0	0	2	0	0	3	3	0
LINC00629	7	16	5	12	4	2	12	2	5	13	24	40
MIR503HG	0	0	1	0	0	0	0	0	0	1	1	12
FAM122C	77	67	323	162	73	375	146	108	213	67	71	1690
FAM122B	140	97	141	167	65	101	248	125	49	166	121	603
SMIM10	0	0	2	0	0	1	3	6	6	0	2	36
MOSPD1	60	31	74	63	75	63	122	48	65	91	89	419
LOC340581	2	0	1	0	1	0	0	6	0	1	5	1
FAM127A	46	55	83	86	131	69	128	186	123	145	123	615
FAM127B	55	48	36	95	66	47	180	76	42	151	131	282
LINC00633	0	0	1	0	0	0	0	0	0	0	0	2
FAM127C	25	6	12	27	15	12	44	36	4	45	32	61
LOC100287728	0	0	0	0	0	0	0	0	0	0	2	1
SMIM10L2B	19	25	6	13	25	9	47	15	4	59	6	16
CT55	2	5	12	0	2	5	6	35	27	2	23	21
ZNF449	113	148	114	120	79	107	321	229	55	138	156	606
DDX26B-AS1	0	0	0	1	3	2	1	0	0	0	0	2
SMIM10L2A	17	61	10	10	46	6	41	67	6	49	38	152
CT45A5	0	0	0	0	0	0	0	0	0	0	0	0
CT45A7	0	0	0	0	0	0	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0	0	0	0	0	0	0
CT45A1	2	1	0	0	0	0	0	1	3	0	1	0
CT45A4	0	0	0	0	0	0	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0	0	0	0	0	0	0
CT45A10	0	0	0	0	0	0	0	1	0	0	0	1
CT45A8	0	0	0	0	0	0	0	0	0	0	0	0
SAGE1	0	1	1	1	0	0	5	4	1	2	0	6
CT45A2	0	0	0	0	0	0	0	0	0	0	0	0
CT45A9	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A6	696	1001	340	610	577	324	1226	1226	278	909	1166	1827
MMGT1	181	232	101	175	208	109	351	330	118	227	332	466
MAP7D3	4	10	85	5	14	79	10	29	59	7	55	382
VGLL1	1	0	0	0	1	1	1	1	3	0	1	9
HTATSF1	496	476	219	377	249	206	742	340	178	674	493	1084
MIR934	0	0	0	0	0	0	0	0	0	0	0	0
BRS3	0	0	3	1	0	3	3	0	3	1	0	27
CD40LG	2	3	16	0	0	4	3	0	7	0	1	10
LINC00892	0	0	3	0	1	0	0	0	0	0	0	0
RBMX	492	361	614	406	343	714	967	719	611	671	643	3170
SNORD61	0	0	0	0	0	0	0	0	0	0	0	0
GPR101	0	0	1	9	0	0	1	0	0	5	0	30
ZIC3	204	92	97	291	106	217	516	181	174	351	172	592
LINC00889	0	13	0	0	6	0	0	0	0	0	11	0
MIR504	0	0	0	0	0	0	0	0	0	0	0	0
FGF13-AS1	0	0	0	0	0	0	0	0	0	0	0	0
SRD5A1P1	0	0	0	0	0	0	0	1	0	0	0	0
F9	3	0	1	2	11	6	18	15	9	7	7	29
ATP11C	586	12	484	128	14	448	1075	10	257	553	29	2385
CXorf66	4	4	7	6	2	1	2	5	3	4	4	11
MIR505	0	0	0	0	0	0	1	0	0	0	0	0
LOC389895	0	0	3	1	1	0	0	0	0	2	1	1
SOX3	0	0	4	0	0	2	0	0	0	0	0	36
CDR1	117332	6929	6596	138388	14424	3911	306828	10917	5261	128083	11058	17110
MIR320D2	0	0	0	0	0	0	0	0	0	0	0	0
SPANXB1	0	0	0	0	0	2	2	0	0	2	0	22
SPANXC	1	0	4	0	0	2	0	0	0	0	0	3
LDOC1	19	16	38	19	28	21	99	39	20	88	62	221
SPANXA2	0	0	0	0	0	0	0	0	0	0	0	0
SPANXA1	0	0	0	0	0	0	0	0	0	0	0	0
LOC645188	0	0	0	0	0	0	0	0	0	0	0	0
SPANXD	0	0	0	0	0	0	2	0	0	0	0	4
MAGEC3	47	15	136	39	34	116	108	46	101	10	7	245
MAGEC1	0	0	0	0	1	0	0	0	0	0	0	0
MAGEC2	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN4	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN3	1	0	0	1	0	0	2	0	0	5	0	2
SLITRK4	697	6	49	649	18	22	1696	28	37	1062	25	292
SPANXN2	0	0	0	0	0	0	0	1	0	0	0	0
UBE2NL	0	0	0	0	0	0	0	1	0	0	0	1
SPANXN1	0	0	0	0	0	0	0	0	0	0	0	1
SLITRK2	17	23	675	15	52	899	51	121	914	45	39	4690
TMEM257	6	4	94	8	23	147	13	12	106	13	5	498
MIR892C	0	0	0	0	0	0	0	0	0	0	0	8
MIR892A	0	0	1	0	0	0	0	0	0	0	0	32
MIR892B	0	0	0	0	0	0	0	0	0	0	0	0
MIR888	0	0	0	0	0	0	0	0	0	0	0	0
MIR891B	0	0	0	0	0	0	0	0	0	0	0	0
MIR890	0	0	0	0	0	0	0	0	0	0	0	5
MIR891A	0	0	0	0	0	0	0	0	0	0	0	0
CXorf51B	0	0	0	0	0	0	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0	0	0	0	0	0	0
MIR513C	0	0	0	0	0	0	0	0	0	0	0	0
MIR513B	0	0	0	0	0	0	0	0	4	0	0	0
MIR514A2	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A3	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A1	0	0	0	0	0	0	0	0	0	0	0	0
MIR510	0	0	0	0	0	0	0	0	0	0	0	0
MIR506	0	0	1	0	0	0	0	0	0	0	0	3
MIR514B	0	0	1	0	0	0	0	0	0	0	0	0
MIR509-3	0	0	0	0	0	0	0	0	0	0	0	3
