Gene	1861_granule	1862_granule	1996_granule	1859_basket	1860_basket	1640_basket	1992_astrocyte	1993_astrocyte	1327_purkinje	1329_purkinje	1639_purkinje	1471_purkinje	1472_purkinje
Zfp846	307	392	438	503	541	609	218	431	235	171	400	55	46
Rdh8	2	1	0	3	0	0	1	2	3	5	0	0	0
Col5a3	17	6	8	11	12	16	1662	2024	8	7	10	0	0
Dnmt1	1028	853	836	632	852	562	515	478	359	383	531	45	45
Ppan	61	52	57	69	51	49	40	11	34	19	139	13	9
Eif3g	87	82	59	106	113	80	28	118	50	37	186	15	18
Angptl6	36	63	13	12	14	11	3	8	8	5	5	3	3
A230050P20Rik	26	42	118	72	92	171	143	94	54	89	250	17	20
Mir7081	0	0	0	0	0	0	0	0	0	0	0	0	0
Raver1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl4	149	80	174	139	82	185	187	151	98	57	252	35	15
Zglp1	6	9	19	11	16	27	4	5	3	0	16	0	2
Icam1	6	4	1	2	3	0	2	3	17	15	0	1	1
Fdx1l	0	0	0	0	0	0	0	0	0	0	0	0	0
Icam5	6	2	1	5	6	5	0	1	4	0	1	0	0
Gm38431	18	2	9	14	6	4	1	3	2	0	5	0	1
Icam4	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1900	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7082	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyk2	532	501	451	358	304	367	458	491	167	91	380	28	32
Pde4a	2	2	4	3	0	0	1	25	0	0	1	0	0
Cdc37	370	75	139	182	105	129	282	272	73	58	121	23	20
Mir7667	8	26	21	20	23	23	47	22	12	16	12	3	2
Cdkn2d	64	39	3	82	32	20	4	1	28	25	45	2	4
S1pr5	35	154	58	38	24	26	34	31	5	2	7	0	0
Atg4d	117	183	167	92	114	135	48	143	44	33	161	20	15
Slc44a2	563	498	468	474	498	560	1189	793	353	194	983	114	73
Ap1m2	4	2	5	3	2	0	0	3	10	11	30	2	2
Kri1	396	250	556	256	242	352	366	204	114	90	273	25	45
Ilf3	1453	1263	1392	1458	1450	1773	979	1068	425	374	1243	101	112
Gm16853	12	134	48	36	29	32	68	51	9	2	13	1	0
Qtrt1	106	261	150	390	360	393	101	201	197	240	403	66	127
Carm1	1295	983	1340	936	1168	1409	1079	1041	454	285	809	73	62
Yipf2	84	96	141	37	35	63	81	65	55	8	54	17	9
Tmed1	0	4	29	9	4	17	17	11	4	6	13	0	4
Mir199a-1	0	0	0	0	0	0	0	0	0	0	0	0	0
AB124611	9	4	11	25	19	22	139	135	26	14	33	2	5
Gm7904	2	0	2	15	11	9	0	1	0	1	1	0	0
1810026J23Rik	161	140	67	184	137	99	47	24	32	29	102	7	23
Ldlr	196	218	212	17	32	14	291	487	13	7	30	2	0
Angptl8	0	0	0	0	0	0	0	0	0	0	0	0	0
Kank2	1418	1594	1282	78	87	71	463	341	20	16	53	6	5
Dock6	9	4	8	14	8	15	106	118	26	22	49	3	13
Mir7083	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc159	35	23	56	23	53	84	125	111	30	25	99	10	9
LOC100049077	0	0	4	1	0	1	0	0	7	0	1	1	0
Tmem205	51	111	68	30	55	74	80	156	69	43	93	16	21
Rgl3	990	746	1385	466	424	562	1036	913	38	45	106	14	12
Ccdc151	101	9	10	12	23	18	111	159	5	8	25	3	2
Prkcsh	165	236	169	201	186	207	276	106	136	96	266	38	44
Plppr2	330	152	357	302	321	369	174	228	272	167	346	61	54
Swsap1	1	0	7	11	11	11	3	2	6	1	5	2	6
Epor	3	9	1	4	1	2	1	0	17	19	27	7	5
Rab3d	36	21	69	17	27	20	26	2	102	59	176	21	24
Acp5	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp653	47	48	65	15	23	42	83	96	19	9	54	5	5
Ecsit	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnn1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16845	0	0	0	0	0	0	0	0	0	0	0	0	0
Elof1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7084	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp809	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp599	0	0	0	0	0	0	0	0	0	0	0	0	0
1810064F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigyl	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp872	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6607	0	0	0	0	0	0	0	0	0	0	0	0	0
Anln	17	6	11	2	7	4	4	8	9	2	5	2	0
Rp9	693	596	765	413	639	614	389	288	224	124	551	47	56
Dpy19l1	401	463	408	1399	1719	1790	412	283	224	144	666	26	39
Cypt10	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt9	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt4	0	0	0	0	0	0	0	0	0	0	0	0	0
Herpud2	1467	1356	978	1429	1727	1898	927	1203	1062	896	1450	216	152
Glb1l2	6	5	0	92	72	94	135	274	33	22	77	4	5
Glb1l3	9	8	2	34	41	18	8	11	23	31	2	2	2
Acad8	383	289	529	529	682	793	2220	2936	804	557	1088	141	95
Gm1110	21	18	2	16	12	6	3	12	40	19	14	1	1
Vps26b	547	403	550	422	426	552	1161	1314	430	261	676	120	83
Ncapd3	1204	1236	1472	1436	1757	1997	992	1427	1817	1174	2688	425	398
Igsf9b	2671	2120	2213	1077	1070	879	71	72	821	747	938	74	119
AI414108	977	667	704	290	390	480	35	26	152	153	402	30	34
Spata19	4	11	6	0	3	1	0	0	0	19	5	0	12
Snx19	908	810	1004	1413	1587	1726	1334	1847	761	453	1128	154	119
Adamts15	10	15	14	2921	3342	3578	23	84	13	4	69	0	0
Adamts8	150	116	93	242	238	204	55	158	90	48	51	14	9
St14	4	6	8	15	15	13	2	3	36	12	10	2	1
Gm7244	0	2	0	0	0	0	0	1	2	1	0	0	1
Nfrkb	1123	802	951	915	1145	1117	646	1027	527	491	975	92	170
Kcnj5	0	0	0	9	9	2	2	4	22	4	18	3	1
Ets1	5	15	11	22	8	17	274	240	12	15	3	1	1
Gm27162	1	2	0	2	8	0	49	7	15	9	1	0	1
7630403G23Rik	0	1	0	10	5	4	0	2	2	3	1	0	0
St3gal4	245	187	165	3231	3358	3163	9773	13380	74	53	206	7	3
Tirap	14	14	11	22	12	10	19	9	16	52	24	3	24
Srpr	140	87	191	161	174	235	199	69	58	27	170	22	8
Foxred1	128	80	64	211	282	220	113	77	170	109	237	43	63
Rpusd4	84	208	46	104	77	44	18	4	43	6	39	14	1
4933422A05Rik	22	6	11	3	3	10	7	1	0	0	2	0	0
Cdon	1980	2288	2535	23	15	67	33	23	1545	967	1620	280	190
Gm17365	0	0	2	0	3	2	0	0	5	2	1	0	0
Pus3	59	21	20	11	35	28	2	4	15	12	31	9	1
Hyls1	86	39	77	36	47	90	24	7	55	25	63	12	7
Ddx25	412	219	267	485	419	470	122	169	243	166	262	42	34
Pate4	0	0	0	1	4	1	0	1	6	1	5	1	0
Gm17727	0	0	0	0	0	0	0	4	0	0	1	0	0
Gm17677	0	0	0	0	0	0	0	0	0	0	0	0	0
Pate2	0	1	1	0	15	4	6	2	6	1	6	1	2
Gm17252	0	0	1	0	4	0	0	1	6	1	1	1	0
9230110F15Rik	0	1	0	2	0	1	1	0	12	13	8	5	4
D730048I06Rik	0	0	0	0	0	0	0	0	1	1	0	1	0
Gm3428	1	0	0	1	0	0	0	0	1	0	2	0	0
Gm5916	9	9	4	139	126	34	0	0	0	0	2	0	2
Gm3434	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7257	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm5615	2	1	2	1	2	1	3	9	7	5	1	2	0
Gm9513	0	0	1	0	0	0	0	0	0	0	0	0	0
A630095E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17689	0	0	0	0	0	0	0	0	1	2	0	0	0
Acrv1	3	1	0	3	8	0	1	1	3	0	3	0	0
1700027I24Rik	4	4	1	10	15	4	2	25	28	8	5	1	0
Ei24	742	947	469	791	880	782	638	984	389	200	676	100	83
Chek1	20	10	10	107	100	100	13	11	86	50	147	14	12
Stt3a	1208	1290	616	1087	1204	1148	347	267	692	705	874	83	78
Fez1	3982	2799	3294	1565	1716	1647	1713	2654	726	380	1058	111	72
Tmem218	20	47	39	91	87	126	77	47	64	48	140	15	20
Slc37a2	11	28	30	32	64	60	138	132	5	8	51	1	0
Ccdc15	567	155	216	810	862	937	351	310	419	303	480	80	65
Hepacam	49	51	62	15	15	47	6971	7771	6	4	47	0	1
Robo3	0	1	2	0	2	0	1	0	3	2	36	0	0
Robo4	3	0	3	2	0	0	0	0	0	1	0	0	0
Spa17	43	8	31	43	27	41	45	48	3	12	10	1	2
Msantd2	1841	1986	1625	1972	2560	2905	1009	1219	861	498	1909	171	138
Vsig2	1	4	3	4	1	2	0	0	2	0	1	0	0
Esam	60	36	20	23	18	26	13	6	12	28	20	2	0
Nrgn	0	0	4	5	3	7	6	0	2	0	11	0	0
Olfr874	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr160	0	0	0	0	0	0	0	0	0	0	0	1	0
Olfr151	1	0	0	0	0	0	0	0	0	0	0	0	0
Panx3	1	3	0	1	0	0	8	0	1	1	0	0	0
Tbrg1	107	85	100	84	84	108	43	112	41	20	87	7	14
Olfr877	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr875	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr876	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr878	0	0	0	0	0	0	0	0	2	0	0	0	0
Olfr145	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr881	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr883	0	0	0	0	0	0	0	0	1	0	0	0	0
Olfr888	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr887	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr889	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr884	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr885	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr893	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr894	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr895	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr891	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr890	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr143	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr251	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr250	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr899	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr898	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr25	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr900	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr147	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr905	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr902	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr911-ps1	0	1	0	0	0	0	0	0	0	0	0	0	0
Olfr908	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr907	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr906	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr904	0	1	0	0	1	0	0	0	0	0	0	0	0
Olfr901	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr914	0	1	0	0	0	0	0	0	0	0	0	0	0
Olfr916	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr912	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr910	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr915	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr913	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr917	0	1	0	0	0	0	0	0	0	0	0	0	0
Vwa5a	8	6	3	249	270	173	457	438	137	139	50	20	15
Olfr919	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr920	0	0	0	6	5	6	4	0	0	1	0	0	0
Olfr918	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr921	0	0	0	0	0	0	0	1	1	0	0	0	0
Olfr923	0	0	0	3	5	3	0	0	0	0	0	0	0
Olfr26	0	0	0	0	4	0	0	0	0	0	0	0	0
Olfr922	0	0	0	11	27	44	0	0	0	0	0	0	0
Olfr926	0	0	0	0	0	1	0	0	0	0	0	0	0
Olfr924	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr146	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr934	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr933	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr936	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr935	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr930	0	1	0	0	0	0	0	0	0	0	0	0	0
Olfr27	1	2	0	0	0	0	0	0	1	4	1	0	0
Olfr943	0	1	1	0	3	0	1	0	4	6	1	1	0
Olfr937	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr938	0	1	0	0	0	0	0	0	0	0	0	0	0
Olfr242	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr945	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr947-ps1	1	0	0	2	1	0	1	3	4	4	1	0	2
Olfr1537	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr944	0	0	0	0	0	1	0	0	0	0	0	0	0
Olfr948	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr952	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr951	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr958	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr955	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr959	0	0	0	0	0	0	0	0	0	1	0	0	0
Olfr954	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr44	1	0	1	1	0	0	3	0	3	1	0	0	1
Olfr957	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr961	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr149	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr148	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr960	0	0	0	0	0	0	0	0	0	0	0	0	0
AW551984	2	1	0	3	3	0	0	0	0	3	8	0	0
Olfr963	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr971	0	0	0	0	0	1	0	0	0	0	0	0	0
Olfr968	0	0	0	1	0	0	0	0	0	0	0	0	0
Olfr970	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr150	1	0	0	1	0	0	0	0	0	0	0	0	0
Olfr969	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr965	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr967	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr229	1	0	0	0	0	0	0	0	0	1	0	0	0
Olfr972	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr976	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr975	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr974	0	0	0	0	1	0	0	0	0	0	0	0	0
Olfr981	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr982	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr980	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr978	0	0	0	0	0	1	0	0	2	0	0	0	0
Olfr983	0	0	0	1	1	0	0	0	0	0	0	0	0
Olfr984	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	2	1	0	0	0	0	0	0	0	0	0	0	0
Olfr979	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr985	1	0	0	0	0	0	0	0	0	0	0	0	0
Tmem225	1	0	3	0	0	0	0	0	0	0	0	0	0
Olfr986	0	0	0	1	0	0	0	0	0	0	0	0	0
Zfp202	149	170	115	157	193	220	104	135	47	68	122	9	33
Scn3b	104	264	244	133	186	251	195	245	98	75	115	14	9
1700110K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsx	4	0	3	1	2	1	0	0	1	0	0	0	0
Hspa8	369	355	640	648	672	537	748	666	287	324	725	91	186
Crtam	1198	1112	1161	170	234	184	18	8	80	53	153	12	17
4931429I11Rik	237	200	175	33	34	16	17	39	246	163	149	44	26
1700063D05Rik	16	38	28	32	34	17	4	2	123	91	50	13	22
Mirlet7a-2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir100	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir125b-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sc5d	361	318	320	269	320	429	287	216	141	145	281	34	23
Tmem136	353	164	218	492	507	396	430	573	723	295	352	104	69
Oaf	0	0	3	4	1	5	105	57	8	4	5	1	0
Pou2f3	6	7	3	11	16	4	10	9	31	21	10	2	4
Trim29	2	1	0	1	1	0	0	7	4	1	1	0	0
D630033O11Rik	3	2	2	1	1	0	5	3	4	11	3	0	3
Usp2	1753	1208	941	590	648	716	1187	1202	356	303	798	76	126
C1qtnf5	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcam	468	473	222	12	20	9	11	1	272	519	90	35	52
Thy1	115	145	107	223	172	161	31	69	617	378	1141	169	164
Mfrp	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf26	27	18	22	36	20	25	55	5	10	1	29	6	0
Pdzd3	0	0	2	1	0	2	1	0	1	0	0	0	0
Ccdc153	3	0	1	1	1	0	0	1	6	0	1	1	0
Nlrx1	66	166	57	19	24	17	92	96	38	27	37	12	11
Abcg4	311	232	374	605	590	817	290	228	408	251	726	84	74
C2cd2l	111	136	292	147	179	208	115	74	78	42	241	19	14
Dpagt1	98	50	88	117	158	169	148	115	66	40	176	11	18
Slc37a4	28	153	43	98	134	92	49	44	1	0	35	1	1
Vps11	624	543	519	516	629	825	403	202	264	164	467	48	69
Hmbs	57	50	83	78	80	82	75	93	15	29	81	8	3
Rps25	26	82	32	72	70	76	17	21	22	24	81	7	7
H2afx	6	2	15	16	14	9	4	2	6	4	5	0	0
Trappc4	33	22	24	54	28	43	20	3	9	11	17	3	5
Hyou1	223	90	207	268	274	255	227	200	153	105	259	21	42
Mir7085	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc84	242	199	162	134	105	140	77	118	31	21	120	15	7
Upk2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl9l	50	183	329	38	34	98	527	409	51	22	108	8	7
Cxcr5	32	50	3	8	21	7	5	6	6	6	4	0	3
Foxr1	0	0	2	1	0	1	1	1	1	0	0	1	1
Treh	1	1	3	1	2	1	7	13	9	4	0	0	0
Ddx6	2799	3130	2355	2752	2759	3123	1783	1484	1062	779	1726	161	184
Arcn1	880	583	915	860	1064	1078	616	767	395	284	933	109	60
Ttc36	1	10	12	7	13	11	15	1	0	0	6	0	0
Tmem25	434	396	232	838	946	815	55	19	261	211	545	65	75
Ift46	339	466	391	363	474	468	612	478	155	84	385	36	22
Atp5l	286	250	343	446	663	637	101	181	282	84	406	41	35
Cd3d	0	1	0	1	0	0	0	0	2	2	0	0	0
Cd3g	0	3	0	3	0	0	0	5	0	1	0	1	0
Mpzl2	0	2	9	2	14	6	0	3	16	15	9	0	2
Cd3e	0	0	2	1	1	0	0	2	1	0	7	0	0
Mpzl3	375	227	192	59	41	43	4	15	132	82	78	15	12
Scn2b	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10684	16	22	81	6	11	20	0	2	34	17	212	4	4
Scn4b	3	0	6	10	8	7	1	4	746	468	1140	218	249
Tmprss4	1	1	0	2	0	0	1	0	29	2	41	1	0
Il10ra	30	44	56	4	3	6	0	1	13	8	5	0	0
Tmprss13	0	0	0	0	0	1	1	2	9	8	0	0	0
Mir7086	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Fxyd2	2	1	0	0	2	0	1	0	2	2	1	0	0
Fxyd6	826	1177	871	50	74	45	20	13	17	5	33	2	1
4833428L15Rik	0	0	2	36	43	16	0	0	1	0	1	0	0
Cep164	782	788	1096	1063	1068	1402	841	670	629	394	1265	142	169
Bace1	584	504	796	801	787	981	824	618	310	197	728	67	41
Tagln	4	30	29	8	16	29	39	24	5	4	24	0	3
Pafah1b2	944	532	497	960	1027	983	383	542	566	387	807	67	86
Pcsk7	653	442	650	404	515	670	463	381	601	307	901	114	76
Sidt2	383	315	478	256	381	351	486	474	213	186	764	47	106
Mir7087	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoa1	3	0	1	0	2	0	0	0	4	0	0	1	0
Apoc3	0	0	1	0	0	0	0	2	1	2	0	0	0
Apoa4	0	0	0	0	0	0	0	0	0	0	0	0	0
Bud13	175	90	142	168	78	119	106	82	94	50	161	19	16
Zpr1	55	160	95	184	129	141	103	72	61	53	172	13	18
4931429L15Rik	39	41	35	22	8	21	0	23	9	1	0	0	0
Apoa5	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm4791	1	0	0	0	1	0	1	0	0	2	2	0	0
Gm10677	0	0	0	0	0	0	0	0	0	0	0	0	0
Nxpe2	65	58	27	88	117	115	242	282	193	68	146	22	20
Rbm7	278	178	201	239	180	273	104	98	108	92	171	28	21
Gm8884	0	0	0	0	0	1	1	0	0	0	1	0	0
Gm5617	0	1	9	5	2	2	28	34	0	0	3	0	0
Rexo2	618	565	653	353	294	406	825	1241	242	180	546	56	50
Nnmt	0	1	1	3	5	2	3	10	5	3	0	0	0
Htr3b	1	4	1	2	6	3	2	8	14	11	5	1	2
Htr3a	6	4	3	3	5	3	2	5	13	5	1	0	2
Tmprss5	2	17	1	1	3	1	4	20	11	9	2	1	0
Zw10	492	223	298	267	208	269	152	111	195	119	370	49	43
Gm4894	1	1	0	1	0	1	1	3	5	1	0	0	1
Drd2	26	17	9	12	6	14	5	1	8	14	8	2	0
Ttc12	20	10	19	20	32	13	1712	2075	21	17	22	3	1
Ankk1	8	5	0	9	4	2	22	10	11	22	5	0	1
2310003N18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Il18	3	9	9	7	5	9	947	1523	140	132	149	38	37
Tex12	6	6	4	1	3	4	105	128	14	2	30	4	0
Plet1	0	0	0	0	0	0	0	0	0	0	2	0	0
Bco2	3	2	0	0	3	2	14	26	49	46	21	7	9
Pts	28	129	42	161	111	135	123	190	190	174	322	35	66
Plet1os	1	2	0	3	10	3	0	11	19	11	3	1	1
AU019823	371	258	255	347	457	375	361	289	165	97	234	40	45
Sdhd	334	286	71	288	241	165	43	36	106	78	245	26	19
Timm8b	16	43	13	43	35	25	16	5	19	3	26	7	1
Pih1d2	2	8	8	12	28	17	163	207	7	6	30	3	1
Dlat	805	1020	980	1659	1772	1835	683	600	573	257	1424	165	94
1110032A03Rik	54	50	99	138	159	96	77	72	57	24	48	12	2
Hspb2	0	0	0	0	0	0	1	0	0	0	0	0	0
Alg9	909	551	563	722	689	894	621	473	267	151	597	64	48
Cryab	10	1	9	1	3	0	32	53	1	0	0	0	1
2310030G06Rik	0	0	11	1	0	3	4	0	2	0	9	0	0
Fdxacb1	21	60	44	31	72	58	58	23	19	32	30	3	21
Ppp2r1b	866	994	878	127	124	116	404	392	97	77	210	22	35
Mir34c	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir34b	0	0	0	0	0	0	0	0	0	0	0	0	0
4833427G06Rik	11	4	3	14	10	5	7	11	23	11	6	3	2
Layn	118	127	129	4	1	14	7	9	3	3	4	1	0
Pou2af1	3	1	1	4	3	0	0	3	3	6	2	0	2
Gm684	0	0	1	1	0	0	111	33	1	1	2	0	0
1810046K07Rik	2	1	0	5	3	2	54	11	14	16	16	3	0
Arhgap20os	184	110	86	234	206	241	3	4	1433	749	750	308	139
Fdx1	175	243	173	428	451	573	153	333	253	105	427	63	19
4933407I05Rik	7	1	1	2	33	9	0	0	4	2	11	0	0
Mir6244	0	0	0	0	0	0	0	0	0	0	0	0	0
Rdx	1043	1230	926	533	562	589	823	1807	229	147	397	38	45
AI593442	27	3	6	380	518	416	3	13	633	394	521	113	105
Kdelc2	110	20	45	42	29	29	62	63	42	18	75	9	3
4930550C14Rik	9	41	21	3	6	12	92	55	27	14	24	4	4
Mir130c	0	0	0	0	0	0	0	0	0	0	0	0	0
Npat	1202	1502	1220	1702	1903	2135	562	705	946	507	1218	203	170
Cul5	1873	2456	1495	2593	2772	2549	862	1154	1416	891	2144	309	248
Rab39	21	52	8	51	45	15	32	39	79	79	37	14	13
Sln	0	0	0	0	6	1	0	0	0	0	0	0	0
Slc35f2	19	14	22	152	134	121	12	11	77	65	79	17	26
Elmod1	3581	2832	2972	10153	12049	12462	77	49	5274	2731	6578	1214	881
Tnfaip8l3	6	2	2	6	10	3	1	4	12	6	4	0	2
Cyp19a1	3	1	1	2	0	0	0	1	1	1	0	1	1
Gldn	9	13	10	8	5	11	8	14	33	15	13	7	0
Gldnos	2	6	0	0	1	1	0	1	4	0	0	0	0
Idh3a	293	340	410	583	711	995	406	281	487	220	726	100	78
Cib2	13	11	22	15	26	34	52	11	12	6	30	3	5
Sh2d7	16	1	5	10	14	6	2	0	1	4	2	0	1
Wdr61	283	261	282	369	351	321	116	132	160	80	350	40	33
Mir5710	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaja4	304	226	272	137	120	150	205	162	120	90	304	36	46
Crabp1	1	0	0	0	1	0	0	0	0	0	0	0	0
Ireb2	2112	2004	1449	1914	2318	2155	666	707	1386	1088	1910	243	279
Psma4	262	433	297	393	491	411	313	518	1231	866	833	191	158
AY074887	4	5	1	7	4	1	2	3	6	6	2	0	1
Chrnb4	45	46	34	10	6	3	6	11	8	10	3	0	1
Chrna3	0	47	9	2	1	2	0	0	1	1	1	0	0
Chrna5	3	1	1	3	1	0	0	0	2	5	2	0	0
Nrg4	207	168	168	86	170	104	14	22	42	28	132	8	2
Fbxo22	515	328	454	401	504	598	174	164	278	152	562	86	73
Tmem266	16877	14799	17261	1655	1979	2322	403	224	72	39	800	6	4
Isl2	0	0	0	0	1	0	0	0	1	0	0	0	0
Etfa	1177	960	917	2457	3057	3017	1527	2209	3210	2042	3547	494	436
Rcn2	558	247	446	883	800	874	254	435	0	10	165	0	4
Gm7444	0	0	0	1	4	4	12	0	0	0	3	0	0
Tspan3	1172	804	624	1635	1955	1676	1166	1753	1011	796	972	136	137
Odf3l1	0	0	0	0	0	0	0	0	0	1	1	0	0
Snx33	0	3	3	21	32	14	513	460	1	0	17	0	0
Snupn	392	309	263	290	307	306	204	201	400	230	444	95	84
Imp3	5	21	2	34	45	11	1	0	28	22	17	2	4
Sin3a	2020	1908	2171	1737	1814	2213	989	1121	855	456	1567	218	205
Neil1	6	2	28	7	28	51	45	32	3	9	64	0	2
Man2c1	313	228	156	243	276	233	223	177	275	181	527	55	81
Gm10658	126	99	65	208	217	263	59	89	100	22	182	35	8
Man2c1os	3	13	20	53	1	22	8	15	10	3	34	2	1
Commd4	40	63	45	78	58	104	84	43	17	27	72	4	18
1700017B05Rik	9	70	59	29	15	21	37	107	5	14	34	0	9
Trcg1	31	7	44	30	11	15	10	18	9	6	22	0	0
1700041C23Rik	2	4	0	11	3	4	0	1	0	1	0	1	0
4930430J02Rik	107	195	145	177	324	355	246	281	93	44	94	11	9
Scamp5	1212	1740	1598	2280	2408	2439	2279	1968	924	553	1608	204	212
Cox5a	319	272	197	495	521	375	112	147	356	246	515	66	84
Rpp25	6	0	0	23	14	8	0	0	0	0	2	0	0
Ppcdc	503	284	416	583	686	673	545	740	311	272	662	61	53
Scamp2	84	71	123	150	188	216	608	559	126	60	364	25	24
Lman1l	1	0	7	12	6	3	6	3	2	1	2	1	0
