Gene	628_nd1_gfp	629_nd1_gfp	630_nd1_gfp	641_pcp2_gfp	642_pcp2_gfp	643_pcp2_gfp	644_pcp2_gfp	796_sept4_gfp	797_sept4_gfp	798_sept4_gfp	799_sept4_gfp	952_glt25d2_gfp	953_glt25d2_gfp	942_glt25d2_gfp	1195_ntsr1_gfp	1196_ntsr1_gfp	1197_ntsr1_gfp	SRR1647854_mo_excit	SRR1647855_mo_excit	SRR1647856_mo_pv	SRR1647857_mo_pv	SRR1647858_mo_vip	SRR1647859_mo_vip
Fam168a	9773	10466	7751	3440	4980	3862	4225	6296	2961	3418	2562	9595	9030	11789	2871	2441	4253	6305	6638	8271	11281	11496	7715
Fchsd2	5230	5287	4788	2726	4583	3176	3714	11051	6183	7634	9071	5844	5560	5053	976	774	1510	2112	2526	6010	7907	15353	10652
Arhgef17	555	1085	631	140	326	211	309	535	211	538	440	614	878	819	221	179	277	2575	2620	2392	3296	3224	1902
Art1	0	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	0	3	2	0	4	5	0
Numa1	4100	6363	3777	1126	1580	1454	1587	2467	888	1122	1284	1435	1568	2156	363	324	571	2629	3031	4235	5380	8437	5662
Folr2	2	11	5	1	1	0	1	20	1	71	3	1	5	13	4	1	5	15	20	33	43	11	9
Stim1	2590	3513	2273	5109	7320	5719	6050	3196	1540	1870	2365	4523	4855	5031	1336	1126	1911	1986	2210	2709	3690	5150	3750
Pgap2	303	369	211	131	232	135	164	1145	538	1305	2061	295	465	515	100	87	163	316	365	577	712	1091	1065
Trim34b	1	0	1	2	1	0	1	0	0	1	3	1	1	2	0	0	1	0	0	0	0	1	0
Trim30a	6	7	4	4	6	5	8	17	17	22	100	161	53	72	2115	1614	1918	2	1	1	9	10	1
Dchs1	60	20	47	14	26	4	6	1729	964	922	1219	319	178	192	202	135	248	292	369	2184	3077	2607	1474
Fam160a2	1094	1381	1172	513	891	597	593	1161	757	574	923	2171	2965	2763	736	518	742	1326	1560	1088	1479	1983	1466
Olfr702	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0
Gm4759	4	2	2	4	1	2	4	3	2	1	1	2	3	2	3	1	0	0	1	1	0	3	2
Ppfibp2	11	3	19	7	3	8	6	2110	1139	1488	1387	133	217	173	40	62	90	206	242	61	104	213	161
Mir1970	266	296	237	8	2	12	5	8	3	1	11	42	30	78	7	10	11	15	11	3	8	24	42
Syt9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St5	1584	2254	1724	247	375	233	339	3920	1879	2112	2147	474	646	321	195	117	256	455	553	5722	7028	1388	906
Scube2	95	30	64	4	14	11	9	2	1	2	2	110	89	167	40	29	68	67	90	42	55	378	265
Stk33	9	41	7	6	5	10	9	2	4	3	8	174	113	406	25	31	73	56	84	104	135	240	150
Akip1	2	21	10	4	3	0	5	24	26	3	115	4	17	17	6	4	15	28	37	48	91	108	93
Mrvi1	2	2	3	4	12	8	3	10	6	8	1	254	50	20	3	3	1	6	12	1055	1311	38	20
Swap70	144	178	147	0	7	4	8	5	5	8	21	119	72	63	3	10	9	33	44	604	790	673	449
Sbf2	10930	12395	7935	1839	3389	2370	2561	6811	4763	5786	4047	11164	11574	12349	4213	3813	6132	8129	9166	12641	15833	27858	20382
Usp47	4302	6186	4214	1130	1650	1134	1515	4001	2881	2919	3397	3978	3558	4866	1123	1053	1583	2606	2951	3274	4440	8835	6172
Galnt18	858	1153	847	194	249	181	196	2312	1025	1128	1020	16988	13434	18265	3120	2828	5189	14776	15771	12385	12078	36645	34471
Mical2	13386	18894	10414	347	543	404	556	6967	4388	5030	4742	16559	17400	23679	3165	2453	3222	33933	39135	22274	31878	17181	11321
Tead1	2724	3337	2324	30	50	39	44	4882	3791	4168	3505	920	716	730	278	223	366	1296	1308	949	1422	3254	2341
4930543E12Rik	0	2	0	1	1	5	5	0	0	1	4	4	13	7	1	1	3	9	6	1	7	0	2
Parva	2364	2331	1746	31	60	58	56	1766	887	913	1062	544	356	462	135	119	196	640	737	1482	1924	2446	1885
Spon1	6734	5945	5199	30	89	136	107	13493	11204	11380	12023	5178	5476	7118	805	709	1103	2953	3265	2047	2822	815	556
Pde3b	10553	11557	8540	1147	2030	1425	1678	98	217	320	126	7540	6910	8109	1443	1334	1847	1684	1695	1788	2395	5396	3719
Cyp2r1	29	11	34	0	3	3	10	12	21	18	113	88	69	145	31	19	43	54	65	24	33	63	69
A730082K24Rik	0	0	0	0	7	4	4	1	0	1	0	1	5	0	1	0	2	1	3	5	6	3	5
Insc	2	11	0	10	6	7	11	88	10	8	0	5	3	51	6	0	7	15	20	13	27	205	93
Plekha7	40	35	16	156	215	128	253	2874	1820	1435	1476	935	1422	1276	721	541	936	2484	3080	4287	5575	1334	1246
Sox6	12	60	9	33	61	53	52	23147	9031	13776	10274	844	565	815	50	63	66	206	319	36532	37624	655	315
Nucb2	108	158	155	82	114	56	74	267	163	91	98	677	957	977	375	316	542	606	763	358	542	970	771
Smg1	24659	30958	21978	2039	2912	2502	2739	5320	3109	3660	4292	9809	10483	12782	2981	2571	3617	8030	10260	8013	11484	17751	12745
9030624J02Rik	2085	3421	2258	429	844	592	865	1724	875	837	1082	881	1295	1436	314	269	523	2100	2442	3770	4821	6825	4498
Tmc5	0	6	8	3	14	3	7	39	188	5	54	25	46	39	1	3	3	7	11	6	14	95	175
Gpr139	13	1	1	6	4	6	7	0	1	9	1	25	1	6	22	20	16	23	31	106	180	20	30
Iqck	746	654	530	216	359	360	418	1538	1090	812	951	339	314	388	84	51	68	261	283	971	1615	531	343
2610020H08Rik	135	266	217	67	151	118	129	324	158	160	192	171	232	203	70	54	62	134	192	252	324	451	272
Crym	0	1	1	0	1	1	0	0	0	0	0	1147	1382	1455	457	400	576	713	1024	49	118	141	73
Abca14	6	9	8	5	10	15	16	8	2	6	9	13	9	14	11	12	26	2	5	13	10	27	10
Abca16	8	15	8	14	14	11	15	5	5	51	6	21	8	11	6	2	6	3	2	0	3	7	3
Cdr2	45	11	18	344	535	416	454	14	2	1	6	100	85	89	7	9	6	112	102	164	307	260	196
Eef2k	3203	3970	2821	55	64	80	87	1027	682	472	562	1761	1736	1846	394	343	681	2023	2603	2373	3517	4319	2971
BC030336	2544	3430	2346	685	1147	787	901	3062	1416	1421	1558	2089	2146	3280	1025	1002	1695	1972	2146	2380	3372	4810	3335
Otoa	13	2	11	7	39	33	33	3	8	4	10	5	16	23	8	3	6	23	31	59	66	54	35
Scnn1b	27	11	22	5	7	2	2	0	44	2	0	12	10	25	4	1	9	22	21	27	57	52	26
Prkcb	38637	48009	26420	93	300	320	296	4315	4162	2894	3622	37151	31064	46769	11418	10753	17622	41099	44410	38249	42068	53541	41808
Scnn1g	8	24	6	8	9	7	9	3	2	1	1	5	5	6	2	0	1	14	14	4	11	3	2
Arhgap17	4041	4531	3895	1697	2573	2060	2775	1505	705	583	2138	2248	1801	2669	411	419	616	2958	3658	3305	3529	4339	2922
Hs3st4	165	105	36	24	25	15	25	34	45	7	5	6760	6530	10724	25138	24748	41435	26836	28225	2293	2779	10287	7321
3100003L05Rik	4	4	24	6	8	7	21	7	1	14	12	49	5	50	30	37	33	22	24	3	8	17	4
Il4ra	6	4	2	54	198	88	120	32	28	46	50	21	16	12	2	0	3	113	115	17	44	1446	1013
Gtf3c1	1706	3447	2129	850	1480	1154	1499	1109	962	842	1094	2156	2042	2579	726	585	920	3828	4615	5068	7180	8554	4926
Gsg1l	1766	1987	1470	20	65	54	45	6	30	8	30	2498	3352	4395	1162	780	1092	7754	6969	2274	3176	1114	707
Setd1a	1497	2120	1335	287	489	370	480	133	207	69	432	697	964	768	136	120	177	1518	1869	2525	3303	4487	2425
Mvp	267	829	371	24	28	17	25	42	44	20	46	96	136	139	24	30	28	211	301	344	502	564	297
Srcap	5553	9030	5939	1604	2947	2297	2988	4589	2272	3920	2829	4407	6309	5301	1213	837	1389	5598	6055	8552	9671	16987	9572
Tial1	2833	3010	2610	2028	2662	1699	2866	7094	2687	2148	2749	3937	4966	4588	1167	946	1461	1742	2063	3176	4166	17231	11737
Itgad	3	1	1	0	5	3	5	3	4	0	2	6	3	13	1	2	1	4	2	47	54	31	6
Mcmbp	2337	3248	1948	365	555	413	544	2640	1528	882	1464	2026	1647	1820	356	300	491	1434	1646	1907	2218	5301	3609
Plpp4	73	124	42	4	32	6	2	17	17	197	3	54	220	95	230	128	148	255	136	86	83	22557	20036
Wdr11	727	953	618	445	550	409	568	618	695	738	497	807	1035	1171	259	229	362	1014	1152	1396	2075	2283	1766
Btbd16	3	5	5	17	44	28	61	4	3	5	8	32	17	109	7	8	20	14	14	8	9	25	11
Ate1	9537	10412	7673	3381	5392	4302	5373	7411	3780	3800	4060	8573	8897	10569	2262	1845	3296	4952	5314	7023	7832	15439	11825
Tacc2	4581	6642	4845	832	1362	958	1356	299	148	98	314	1172	1537	1676	479	411	699	2476	3206	7078	10237	16202	10725
Htra1	18	14	18	890	1606	1021	1427	8856	6083	5260	7002	213	194	528	27	23	40	295	244	1298	2227	8513	5667
5430419D17Rik	40	4	1	3	7	1	4	2	5	5	1	1	2	7	3	5	8	2	4	0	2	9	1
Fam53b	5320	6444	4678	1018	1119	1271	1403	931	733	453	611	1278	1402	1383	453	384	433	4056	5029	2048	2690	3191	1929
Chst15	1658	3121	1702	961	1571	1141	1353	12	41	7	78	2314	1754	2872	624	374	686	2045	2146	447	830	2453	2003
Lhpp	285	481	207	573	921	760	817	646	118	135	385	309	305	348	83	37	53	395	398	286	480	869	652
Ctbp2	8202	9335	6476	35	113	98	91	680	812	1092	727	2342	1986	1975	70	73	95	1031	1148	2809	3253	3375	2708
Uros	179	238	254	55	107	46	95	238	62	56	29	125	220	142	43	49	62	437	486	620	1003	807	660
Fank1	2	4	5	5	19	14	18	38	4	13	6	448	227	440	56	47	74	375	385	206	262	301	226
D7Ertd443e	2	4	5	3	9	14	10	1	33	4	3	109	37	360	17	17	17	45	47	58	71	168	124
Dock1	69	87	55	66	142	67	128	9564	7512	4991	7801	800	452	517	96	93	115	552	596	400	581	1066	723
Ptpre	4286	3746	3335	2211	3648	3082	3411	107	52	89	86	2326	2675	3649	776	672	991	2346	2733	10340	13065	19258	14299
Clrn3	2	0	2	3	1	0	2	0	0	0	1	1	3	3	1	1	0	0	0	0	0	21	14
Ebf3	66	7	81	1286	1926	1349	1888	55	18	10	39	48	45	13	3	0	1	2	11	6	7	62	41
Mgmt	2	2	1	601	1100	948	1282	9	117	58	75	128	85	181	8	2	5	58	70	127	136	110	84
Gm6249	10	14	8	28	33	26	32	31	12	26	17	12	18	16	1	2	1	0	1	1	0	2	3
Tcerg1l	272	160	428	4	11	3	23	197	263	266	222	3678	3940	6742	67	72	70	1266	1430	2009	3102	15494	11710
Jakmip3	3804	4776	2832	753	1063	870	826	16	36	18	9	2461	2639	4403	1127	935	1511	4826	5155	5519	6154	10929	7277
Stk32c	159	192	131	12	6	9	8	77	38	32	303	2416	2360	3393	771	514	909	4992	6455	5612	6608	13375	9392
Echs1	106	374	207	33	76	45	72	286	158	117	318	99	138	113	33	15	29	174	247	440	641	734	436
Adgra1	57	66	155	2	13	5	15	2739	2375	1594	2863	5444	6145	7576	1090	962	1473	2624	4230	5493	8588	7102	4596
Adam8	86	65	36	11	6	14	11	5	11	13	26	92	107	139	18	15	14	358	383	304	293	363	323
Cend1	479	526	411	55	94	90	151	140	45	20	17	135	237	205	28	33	36	910	960	2217	5393	2517	1573
Rnh1	141	149	164	85	106	74	142	232	410	291	150	47	95	101	28	16	21	352	401	445	830	740	477
Cyp2e1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	0	4	5	3	7	8	1	5
Brsk2	2430	3673	2770	398	613	469	627	182	213	217	94	877	1145	1222	222	168	293	4426	4589	5425	6920	9049	5307
Lsp1	6	0	0	0	0	0	0	1	0	5	14	13	31	13	22	5	18	12	35	12	22	13	7
Ifitm10	2151	3368	1871	5	25	25	22	32	16	19	12	612	399	553	32	26	57	383	530	2793	3492	3720	2364
Dusp8	559	1066	761	42	106	39	90	187	99	77	193	111	185	155	42	29	86	838	1000	1226	2611	1465	789
Nap1l4	1367	1394	1189	291	462	378	401	585	481	349	556	474	726	526	197	156	269	1162	1418	2064	3144	4147	2695
Kcnq1	81	90	46	771	1099	808	890	8	73	349	245	2618	1885	3146	434	434	604	718	834	1441	1692	1493	1102
Kcnq1ot1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cttn	893	868	606	280	396	241	455	511	308	329	234	674	652	752	241	157	252	1507	2097	2557	2999	4580	3128
Shank2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir3470b	232	317	129	7305	10702	8566	10237	137	255	759	274	1530	1531	1404	401	371	368	1540	1589	530	919	6486	4821
Tpcn2	2596	3078	1681	496	729	512	345	613	109	116	101	647	798	821	81	51	79	324	466	1064	1508	473	440
Speer9-ps1	3	1	1	1	7	1	1	1	2	2	0	2	1	1	2	0	0	0	1	2	0	2	4
Mir291b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir291a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir290a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp12	1	3	3	5	1	2	5	2	1	3	3	3	9	26	10	2	4	1	6	1	6	9	8
AU018091	0	2	2	1	0	0	2	4	0	1	0	0	1	1	0	2	1	0	1	1	1	5	2
Mir292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D7Ertd143e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Mir292b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir290b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myadm	455	1335	845	356	1049	394	603	993	451	893	905	1379	2214	1485	875	1149	1525	1027	1218	656	1328	1545	879
Cacng7	2245	1991	1744	896	1966	1189	1830	4257	2939	2835	3234	1582	1763	1919	298	261	546	1258	1770	3988	5841	4678	3183
Prkcg	281	604	346	6357	9349	6551	9985	297	251	336	350	5149	5876	6579	1257	925	1330	3864	5483	849	1711	2905	1623
Tarm1	1	1	0	2	2	2	4	0	0	0	1	41	63	115	6	1	6	5	5	1	2	2	1
Gm23450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3300002P13Rik	7	21	23	0	0	0	0	63	13	161	9	145	210	215	67	59	114	174	201	298	528	269	254
Cacng6	0	0	0	1	0	1	1	1	1	0	0	84	17	8	3	0	4	10	16	12	24	3	9
Ndufa3	107	148	111	163	181	139	269	662	187	200	76	166	479	379	58	45	101	235	199	499	725	844	486
Tfpt	72	153	253	38	66	57	66	112	66	43	95	218	208	216	58	62	79	357	409	579	800	899	483
Oscar	18	0	17	22	93	46	62	0	18	4	15	77	104	91	23	43	34	161	127	184	323	175	128
Prpf31	255	327	283	54	79	31	79	64	144	18	62	110	241	196	52	37	59	474	571	680	1047	635	566
Mir3572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leng1	92	17	46	18	15	19	12	13	17	0	8	16	29	17	4	5	4	43	33	69	96	92	68
Cnot3	823	1836	1118	184	287	208	289	497	236	155	301	429	652	435	156	99	169	1274	1603	1685	1994	3331	2082
Tsen34	97	88	102	29	42	16	33	81	38	120	145	55	62	24	5	14	17	54	61	218	271	430	215
Rps9	190	82	101	19	36	31	20	5	89	65	155	119	94	147	18	13	37	109	98	154	316	401	251
Pirb	0	1	2	0	1	0	0	1	1	3	0	4	18	8	5	1	8	12	10	4	12	7	4
Mboat7	301	603	664	220	484	302	266	3148	1226	949	1423	1632	1991	1772	363	420	645	1374	1270	1007	1772	2621	1541
Lilra6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pira7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pira1	0	0	0	1	3	7	0	1	1	2	0	0	4	0	2	1	1	0	1	0	0	7	0
Pira2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pira4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pira11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lair1	10	23	15	1075	1481	1216	1435	2056	446	917	290	1045	818	955	62	61	63	172	141	71	91	97	56
Cdc42ep5	0	0	5	0	0	1	1	1	25	0	1	43	10	0	1	3	1	4	7	90	142	13	12
D030047H15Rik	27	79	64	21	67	34	38	6746	5503	6608	7610	95	230	295	43	52	46	63	44	64	83	173	113
Ttyh1	298	249	258	365	671	479	765	4822	2236	2927	2012	1153	1413	1576	349	247	323	2485	2619	1293	1737	3277	1652
9430041J12Rik	69	97	20	905	1300	1195	1305	3051	1988	1867	1854	399	650	832	113	80	116	538	531	353	473	471	320
Leng8	5891	8622	5499	4288	6605	5177	7368	3348	3600	3258	2697	4595	6133	5878	923	551	970	10333	11478	18169	19301	41959	18892
Leng9	3	28	44	3	3	2	6	10	8	0	8	8	8	1	1	0	4	49	36	108	209	93	67
Lilra5	1	0	0	0	1	0	0	1	0	0	0	118	7	1	0	0	0	0	1	0	4	0	1
Rdh13	766	641	659	193	282	148	357	248	431	129	165	581	878	476	148	119	200	701	1200	1593	2130	2759	1480
Gp6	1	0	0	2	2	2	1	2	0	0	1	2	0	3	2	2	2	1	0	3	6	1	3
Ncr1	0	0	1	1	0	0	0	0	0	0	2	2	3	0	0	0	0	0	1	0	0	1	0
Eps8l1	164	136	131	60	173	198	165	95	162	153	470	177	324	269	89	80	131	219	269	148	235	513	275
Tnnt1	0	2	0	0	1	0	3	1	0	1	0	0	1	8	0	1	0	2	3	9	8	71	53
Tnni3	0	0	0	0	0	0	0	0	0	0	0	4	12	1	0	0	1	2	9	12	24	5	13
Ppp1r12c	1285	1742	1579	312	484	328	543	384	308	173	255	878	1410	1014	245	177	305	2098	2570	3069	4147	5674	3119
D630041G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt5	21	44	94	2	2	2	2	14	2	0	33	468	952	519	180	191	317	920	1199	92	328	1279	717
Dnaaf3	1	4	2	0	0	2	3	1	2	0	1	6	4	2	0	0	0	5	10	5	5	7	8
Tmem86b	227	504	169	28	22	34	25	61	30	31	56	36	101	69	30	25	29	351	375	433	459	689	481
Brsk1	788	1063	523	246	407	322	481	436	284	134	345	1050	1093	925	220	133	210	1113	1464	2327	2789	3144	1782
Ppp6r1	1287	1589	1209	235	416	338	477	434	409	398	561	735	1197	1044	291	213	350	1637	1851	1659	2193	3263	1868
Hspbp1	606	791	365	139	221	183	254	125	237	234	128	743	1006	919	214	128	207	949	1127	1427	1618	2085	1283
Shisa7	50	45	78	5	18	24	8	283	49	16	169	1390	1943	2218	643	479	981	4490	5596	2242	3528	8167	4627
Il11	34	28	37	2	19	0	8	2	9	39	0	7	4	3	5	6	1	13	5	13	17	29	16
Tmem238	410	414	254	35	49	46	41	53	49	33	64	26	37	46	13	9	16	51	68	101	157	249	173
Cox6b2	0	0	16	30	28	10	31	8	7	0	12	2	0	1	1	0	0	1	2	7	10	32	8
Suv420h2	246	171	220	118	139	142	211	204	138	136	332	93	178	155	33	16	25	308	281	902	1168	1209	652
Ube2s	104	6	31	14	11	14	5	133	14	15	34	2	17	21	2	4	7	24	41	42	76	79	58
Tmem190	40	19	10	4	2	0	0	0	3	14	0	0	8	6	1	0	0	6	8	8	33	33	26
Rpl28	32	25	14	5	7	9	18	28	7	2	8	2	8	10	4	3	3	43	45	98	132	179	81
Fam71e2	0	5	2	7	10	2	5	8	25	0	9	0	5	7	3	0	1	3	4	3	2	8	13
Sbk3	67	44	24	2	19	43	9	11	0	8	1	16	78	95	9	3	7	16	36	38	77	198	122
Isoc2a	43	24	67	79	160	135	149	859	560	1350	708	134	120	66	17	5	18	32	65	179	203	139	108
Sbk2	0	0	0	4	25	7	6	1	1	0	1	2	2	3	4	0	1	5	2	2	5	3	6
Ssc5d	25	45	22	2	0	2	4	35	50	63	62	70	131	126	16	16	17	207	250	99	176	339	191
Zfp628	66	58	114	3	10	9	15	29	45	61	30	16	21	47	3	6	5	67	76	112	199	229	106
Nat14	16	51	65	3	9	16	8	53	27	29	23	47	110	73	25	24	35	80	68	92	164	150	73
Zfp865	595	954	534	105	189	105	205	391	374	522	350	317	464	416	105	92	139	929	1318	1415	2230	2522	1357
Ccdc106	31	60	74	49	85	40	71	0	9	41	3	38	110	42	33	21	38	269	250	424	666	994	518
Zfp580	22	100	19	36	43	42	55	64	26	5	37	91	40	56	20	8	14	100	102	137	237	217	116
Fiz1	49	95	107	27	29	17	24	126	61	95	22	22	57	18	18	8	23	99	126	138	278	287	153
Epn1	1277	1430	1259	697	1004	693	937	847	994	797	1231	1414	1844	1407	422	311	487	1343	1598	1923	2328	4386	2217
Zfp784	122	245	196	40	77	83	121	66	107	119	131	86	199	79	44	20	48	182	187	420	670	477	309
U2af2	606	1057	834	411	622	484	626	1173	479	827	748	1009	1045	1055	254	178	312	835	1019	1394	1509	2832	1559
Zfp579	111	362	214	59	70	30	61	115	142	157	142	97	246	99	8	13	22	244	240	301	343	742	366
Zfp524	38	36	60	8	21	23	21	54	43	13	17	23	32	58	5	5	8	95	77	118	210	168	80
Rasl2-9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	8	3	3
Vmn1r56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Vmn1r57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp2	0	2	1	3	9	1	12	5	3	1	4	5	7	6	2	1	3	2	0	1	1	2	2
Gm5065	0	0	1	3	5	3	2	1	0	3	1	1	1	1	0	5	0	1	1	1	1	1	1
Vmn1r58	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Vmn2r28	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	2
Vmn1r59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r65	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Zfp787	500	480	499	99	140	100	178	476	380	310	419	228	282	241	97	56	130	480	557	797	1448	1334	792
Nlrp4c	2	3	3	2	4	4	3	0	1	6	7	6	10	9	15	12	11	4	0	5	5	13	6
Zscan5b	0	0	0	0	1	0	1	3	0	3	0	1	4	0	0	1	0	2	1	1	2	0	1
Galp	8	0	1	2	16	1	2	1	0	1	0	0	3	0	2	1	1	1	1	4	2	2	5
Zfp444	792	762	617	109	180	158	181	645	572	675	439	588	610	825	201	163	332	748	983	1206	1952	2111	1170
Gm6792	81	2	1	0	1	17	7	114	13	2	30	34	26	7	7	4	6	21	16	19	23	12	22
Zfp78	387	307	197	66	172	80	220	45	383	133	303	213	389	325	72	83	119	91	168	186	257	368	238
Zfp583	354	332	264	38	110	109	101	497	182	290	802	371	483	453	121	105	177	261	389	232	369	879	640
Zfp28	167	121	197	55	41	29	67	177	117	92	91	176	182	257	35	21	26	222	295	396	525	1094	632
Olfr1349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Olfr1348	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Olfr1347	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Olfr1344	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	14	4	17	31	37	19
Olfr1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	1
Olfr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0
Olfr1350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1
Peg3os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir3099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peg3	10601	14388	9940	3820	4513	3194	5289	1352	1387	1157	1522	8133	9180	10723	1918	1837	2986	11220	16722	40038	50922	40450	24958
Aurkc	0	0	0	0	1	2	2	0	0	0	7	14	10	29	5	0	7	6	5	3	9	12	10
Zim3	10	8	1	9	14	1	18	0	0	0	0	25	27	96	10	6	24	21	19	23	33	102	100
Zfp773	7	6	10	0	7	6	7	7	0	1	1	2	12	8	0	2	6	25	21	47	80	59	48
Zfp418	216	215	146	56	72	79	86	292	245	448	189	206	234	447	115	74	130	236	295	318	519	611	354
Zfp954	99	28	123	11	22	21	23	0	11	38	38	27	60	32	20	13	18	127	144	139	283	261	174
Vmn2r29	321	662	311	174	291	170	290	1233	923	661	833	1168	942	1343	672	639	956	243	169	103	371	658	751
Clcn4	804	1094	983	327	644	369	441	3681	1816	1954	1984	1134	1693	1225	396	450	640	834	1067	1080	1834	2299	1626
Vmn2r30	1	1	2	26	10	2	5	13	4	1	2	1	2	3	1	3	1	0	1	2	4	2	1
Mir5620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
Vmn2r33	3	5	6	6	11	4	8	11	5	3	1	1	2	2	0	0	0	0	2	2	0	1	0
Vmn2r34	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
Vmn2r35	0	0	2	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	1
Vmn2r36	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2810047C21Rik1	0	1	0	2	2	1	1	0	1	0	7	0	1	0	0	1	0	0	0	0	0	0	0
