Gene	1406_xk_granule	1417_pk_granule	1422_xk_basket	1433_pk_basket	1867_xk_astrocyte	1986_pk_astrocyte	1864_xk_oligo	1983_pk_oligo	1866_xk_opc	1984_pk_opc
EIF3IP1	0	0	0	0	0	0	0	1	0	0
LRRN3	0	0	0	0	0	0	0	0	0	0
DOCK4-AS1	0	0	0	0	0	0	0	0	0	0
LSMEM1	100	90	83	31	13	80	23	54	1	75
LOC101928012	5	9	10	17	77	377	142	141	26	130
LOC100996249	0	0	0	0	0	1	0	0	0	0
TMEM168	312	448	563	398	333	502	253	508	326	518
GPR85	53	57	18	35	60	2	17	30	9	87
LINC00998	8	16	14	25	12	38	9	23	0	50
MIR3666	0	0	0	0	0	0	0	0	0	0
TES	0	2	2	2	18	0	5	18	7	2
LOC102724434	0	0	0	0	1	0	2	0	0	0
CAV2	0	0	0	1	0	0	2	32	1	9
CAV1	0	2	9	3	3	2	4	64	6	2
LINC01510	1	5	2	2	5	1	5	2	4	3
MIR6132	0	0	0	0	0	0	0	0	0	0
ST7-OT4	0	0	0	0	0	0	0	0	0	0
ST7-AS1	1	8	4	5	109	4	5	19	0	1
ST7-AS2	0	0	0	0	0	0	0	0	0	0
ST7-OT3	0	0	0	0	0	0	0	0	0	0
ASZ1	7	8	3	3	2	0	31	100	1	0
LSM8	513	638	359	392	161	242	127	294	116	120
ING3	539	623	254	141	95	469	146	190	46	206
WNT16	1	4	0	6	1	5	0	0	1	0
AASS	0	2	334	262	1282	2135	1459	1196	826	1498
FEZF1-AS1	3	1	0	1	3	100	0	0	0	0
FEZF1	0	0	0	0	1	3	0	0	1	1
RNF133	0	0	0	0	0	0	0	0	0	0
RNF148	0	0	0	0	0	0	0	0	0	0
TAS2R16	1	0	0	0	0	0	0	0	0	0
SLC13A1	25	61	3	0	5	13	7	1	6	2
ASB15	4	2	24	12	0	6	1	2	2	1
LMOD2	3	8	2	15	0	2	1	0	0	2
LOC102724555	0	0	0	0	0	0	0	0	0	0
HYALP1	0	0	1	0	0	0	1	1	0	0
SPAM1	0	6	5	8	3	0	13	1	3	2
TMEM229A	7	9	14	14	1	0	30	61	5	9
LOC105375483	8	10	24	15	9	8	1577	1980	42	33
LOC101928211	19	35	79	103	1	5	4	29	0	30
GPR37	3	0	0	11	3	0	2340	921	17	42
LOC101928254	0	0	0	0	0	0	0	0	0	0
MIR592	0	0	0	0	0	0	0	0	0	0
LOC101928333	0	0	0	0	0	0	0	0	0	0
ZNF800	409	495	283	266	97	194	76	335	15	87
LOC100506682	31	41	68	25	4	0	35	14	13	38
FSCN3	7	14	12	3	0	0	0	0	1	1
ARF5	27	24	39	30	54	59	103	24	35	4
PAX4	0	1	0	0	0	1	0	0	1	0
GCC1	29	37	24	29	4	80	17	27	6	25
SND1-IT1	0	0	0	0	0	0	0	0	0	0
LRRC4	0	0	0	0	0	0	0	0	0	0
MIR593	0	0	0	0	0	0	0	0	0	0
MIR129-1	0	0	0	0	0	0	0	0	0	0
MGC27345	298	339	756	562	106	1096	438	545	107	168
LEP	11	20	36	67	10	31	0	11	7	2
IMPDH1	10	22	128	75	68	26	7	20	28	26
PRRT4	14	28	359	220	6	2	6	13	4	2
METTL2B	195	241	426	281	36	353	82	318	117	288
HILPDA	5	11	9	13	36	27	3	11	11	11
FAM71F2	43	88	231	180	152	734	44	223	42	182
LINC01000	510	467	763	537	235	1372	416	1034	365	642
CALU	476	513	740	646	172	986	192	535	915	658
CCDC136	1598	1456	3816	3415	348	770	166	1089	653	1272
OPN1SW	9	9	3	13	2	9	0	0	0	1
IRF5	19	14	5	16	102	1	3	1	5	0
ATP6V1F	60	49	73	38	10	29	6	71	5	12
KCP	10	13	2	6	26	3	6	3	6	3
LOC100130705	466	526	19	24	21	78	8	20	22	2
TPI1P2	0	0	0	1	0	0	1	0	0	0
SMO	54	22	21	22	246	645	4	40	10	31
LOC407835	0	0	0	0	0	1	0	1	0	0
TSPAN33	161	85	6	10	39	159	10	68	190	43
STRIP2	860	1023	1340	1104	154	903	52	392	311	463
SMKR1	9	2	46	36	7	0	2	3	15	4
MIR183	0	0	0	0	0	0	0	0	0	0
MIR182	0	0	0	0	0	0	0	0	0	0
MIR96	0	0	0	0	0	0	0	0	0	0
KLHDC10	2101	3046	2405	2169	643	952	397	1005	986	1586
TMEM209	404	600	423	342	76	212	130	268	65	329
SSMEM1	1	0	1	1	1	0	0	1	0	0
CPA4	3	0	34	15	2	0	10	8	3	4
CPA5	0	3	6	2	1	0	0	1	2	2
CPA1	1	1	0	4	7	23	0	12	0	0
LOC105375504	0	0	0	0	0	0	0	0	0	0
MEST	147	278	485	341	54	78	1	155	155	155
MIR335	0	0	0	0	0	0	0	0	0	0
MESTIT1	0	0	0	0	0	0	0	0	0	0
COPG2IT1	0	0	0	0	0	0	0	0	0	0
KLF14	0	0	0	0	0	0	1	0	0	0
MIR29B1	0	0	1	0	0	0	0	0	0	0
MIR29A	0	0	1	0	0	0	0	0	0	0
LOC100506860	149	224	335	272	69	316	104	424	90	184
MKLN1-AS	0	0	0	0	0	0	0	0	0	0
PODXL	36	33	46	64	53	272	433	279	153	453
LOC101928782	3	5	12	7	2	1	10	2	9	3
LOC101928807	0	0	0	0	0	0	0	0	0	0
FLJ40288	16	21	25	28	32	4	25	52	29	8
LOC100506937	0	0	0	0	0	0	0	0	0	0
MIR3654	0	0	0	0	0	0	0	0	0	0
LOC105375512	0	2	0	0	1	0	0	0	0	0
MIR6133	0	0	0	0	0	0	0	0	0	0
SLC35B4	727	844	738	604	107	691	475	654	342	582
AKR1B1	139	92	102	85	59	53	69	165	1	17
AKR1B10	4	7	14	8	4	10	0	0	0	0
AKR1B15	5	20	24	36	4	44	3	16	2	7
BPGM	180	131	171	174	36	303	22	87	3	133
STRA8	2	0	2	3	4	1	3	0	11	0
WDR91	246	274	273	244	272	539	193	516	159	137
MIR6509	0	0	0	0	0	0	0	0	0	0
TMEM140	0	0	0	0	0	0	0	0	0	0
NUP205	678	762	607	453	353	505	318	630	141	729
SLC13A4	499	439	608	385	140	374	159	331	309	199
FAM180A	2	0	2	1	1	0	1	1	2	0
C7orf73	138	143	244	109	111	114	326	67	84	89
MTPN	0	0	0	0	0	0	0	0	0	0
LUZP6	0	0	0	0	0	0	0	0	0	0
MIR490	0	0	0	0	0	0	0	0	0	0
LOC100130880	0	0	0	0	0	0	0	0	0	0
MIR4468	0	0	0	0	0	0	0	0	0	0
AKR1D1	1	3	4	4	1	2	2	1	2	4
ATP6V0A4	3	4	12	19	10	9	5	193	41	515
ZC3HAV1L	0	0	8	32	4	9	1	27	100	38
TTC26	152	223	235	202	61	98	16	51	13	56
UBN2	2458	3205	2926	2557	804	1780	1006	2026	476	1431
LUC7L2	0	0	0	0	0	0	0	1	0	0
C7orf55-LUC7L2	0	0	0	0	0	0	0	0	0	0
LOC100129148	51	94	48	52	25	46	32	72	26	21
C7orf55	0	0	0	0	0	0	0	0	0	0
CLEC2L	9	0	1127	981	17	0	2	6	4	1
PARP12	1	1	17	24	133	278	60	187	87	420
JHDM1D-AS1	4	2	10	27	2	3	66	1	4	0
MKRN1	299	342	338	290	110	141	267	204	61	150
RAB19	3	4	4	1	6	0	1	5	4	1
ADCK2	87	77	93	56	27	70	268	115	10	43
NDUFB2-AS1	10	3	7	3	0	6	1	2	0	22
NDUFB2	176	138	202	91	51	117	216	145	215	77
MRPS33	25	31	71	41	21	9	29	53	878	6
SSBP1	217	169	221	152	121	298	81	294	112	86
TAS2R5	17	7	15	19	11	10	0	9	0	0
WEE2-AS1	10	15	8	55	5	147	0	6	4	4
TAS2R4	18	36	43	15	54	15	52	12	0	18
TAS2R3	35	16	27	13	0	20	0	10	0	20
WEE2	0	0	0	0	0	0	0	0	0	0
CLEC5A	1	1	19	3	80	167	1	6	5	12
PRSS37	6	7	57	27	0	88	8	18	0	17
OR9A4	0	0	1	0	0	11	0	0	0	3
TAS2R38	0	0	1	0	0	1	0	0	0	0
MOXD2P	0	0	0	0	1	0	2	0	1	0
TRY2P	0	0	0	0	0	0	2	1	0	0
PRSS58	0	0	0	0	0	0	2	0	0	0
MTRNR2L6	28	89	73	179	28	185	146	695	87	317
PRSS1	3	0	0	0	0	0	0	1	0	0
PRSS2	0	0	0	0	0	11	0	0	0	0
C7orf34	4	19	0	3	2	0	2	454	0	3
TRPV5	5	5	4	6	1	5	51	348	9	4
KEL	27	30	9	23	0	37	756	1608	2	165
TRPV6	7	7	0	2	0	27	78	84	0	3
OR6V1	1	14	0	5	1	0	51	353	0	16
OR9A2	3	1	1	0	0	0	36	96	0	0
OR6W1P	0	1	1	1	0	0	8	106	0	3
TAS2R40	1	5	0	0	0	0	33	144	0	3
TAS2R39	0	1	0	3	0	0	1	74	1	2
PIP	5	8	1	4	0	0	38	306	0	1
FAM131B	462	467	131	121	6	33	604	994	9	557
TMEM139	5	0	1	5	0	1	127	18	0	1
CASP2	449	514	325	267	151	210	140	595	72	288
ZYX	440	317	158	117	194	184	114	308	67	739
GSTK1	0	0	0	0	0	0	0	0	0	0
MIR6892	0	0	0	0	0	0	0	0	0	0
CLCN1	36	63	2	6	2	9	20	22	7	12
EPHA1-AS1	509	815	72	65	85	32	26	64	16	8
TAS2R60	0	0	0	0	0	0	0	0	0	0
TAS2R41	0	0	0	0	0	0	0	0	0	0
CTAGE15	1	0	0	0	0	0	1	0	0	0
TCAF2P1	0	0	1	0	0	0	0	0	0	0
CTAGE6	0	0	0	0	0	0	0	0	0	0
TCAF1	1163	1944	863	738	310	810	342	529	387	919
LOC154761	8	15	31	15	0	1	6	7	18	3
OR2F1	0	0	0	0	0	0	0	0	0	0
OR6B1	0	0	0	0	0	1	0	0	0	1
OR2F2	0	0	0	0	0	0	1	0	0	0
OR2A14	0	0	0	0	0	0	0	0	0	0
OR2A5	0	0	0	0	0	0	0	0	0	0
OR2A25	0	0	0	0	0	0	0	0	0	1
OR2A2	0	0	0	0	0	0	0	0	0	0
OR2A12	0	0	0	0	0	0	0	0	0	0
OR2A9P	0	0	0	0	0	0	0	0	0	0
CTAGE8	0	0	0	0	0	0	0	0	0	0
ARHGEF34P	0	0	0	0	0	0	0	0	0	0
OR2A42	0	0	0	0	0	0	0	0	0	0
LOC101928605	0	0	0	0	0	0	0	0	0	0
CTAGE4	0	0	0	0	0	0	0	0	0	0
OR2A20P	0	0	0	0	0	0	0	0	0	0
OR2A1	0	0	0	0	0	0	0	0	0	0
OR2A7	0	0	0	0	0	0	0	0	0	0
ARHGEF35	0	0	0	1	0	1	9	2	1	0
ARHGEF5	0	1	0	1	1	13	1	5	0	9
NOBOX	1	1	0	0	1	0	2	1	1	0
LOC101928700	0	0	0	0	0	0	0	0	0	0
MIR548F4	0	0	0	0	0	0	0	0	0	0
LOC105375556	0	0	0	0	0	0	0	0	0	0
C7orf33	1	4	12	2	1	1	3	0	4	17
EZH2	520	719	263	249	64	117	94	190	53	276
RNY4	0	0	0	0	0	0	0	0	0	0
PDIA4	69	58	179	94	68	164	64	107	54	120
RNY5	0	0	0	0	0	0	0	0	0	0
RNY3	0	0	0	0	0	0	0	0	0	0
RNY1	1	0	0	2	0	6	0	0	0	2
GHET1	1	5	11	17	0	0	0	0	0	0
ZNF425	72	91	81	66	35	133	32	29	81	12
ZNF786	184	158	172	124	100	42	19	30	51	61
ZNF282	365	285	427	262	215	471	164	346	277	569
ZNF783	309	385	463	282	156	245	263	232	253	160
ZNF212	96	89	84	55	60	51	40	50	18	92
ZNF746	811	738	686	377	248	446	134	396	140	567
ZNF777	143	140	223	137	44	229	16	108	142	97
ZNF467	77	117	47	8	65	44	6	13	6	2
KRBA1	57	30	129	64	18	132	91	42	44	73
ATP6V0E2	279	163	403	254	90	126	127	291	33	138
ZNF862	614	797	890	624	574	1124	828	994	539	708
ATP6V0E2-AS1	43	22	70	50	3	58	2	20	2	26
ZBED6CL	0	0	0	0	0	0	0	0	0	0
LRRC61	18	25	75	35	13	29	0	53	79	63
ACTR3C	225	220	715	430	105	198	42	192	193	329
REPIN1	106	80	253	137	108	108	48	172	25	190
LOC728743	29	13	82	58	32	11	39	51	3	12
LINC00996	3	10	1	1	183	9	9	1	9	8
ZNF775	153	279	109	139	65	224	481	298	243	862
GIMAP7	0	0	0	2	20	1	1	0	1	3
GIMAP4	2	2	2	0	180	7	0	7	3	0
GIMAP1	0	0	0	0	0	0	0	0	0	0
GIMAP6	0	0	0	0	14	2	0	1	0	1
GIMAP2	4	1	4	0	275	119	0	40	69	68
TMEM176A	0	2	0	0	5	50	0	73	33	62
AOC1	0	1	2	1	5	3	1	8	2	0
TMEM176B	2	2	1	3	18	147	2	46	66	87
GIMAP5	0	0	0	0	0	0	0	0	0	0
KCNH2	475	344	432	242	70	178	4	208	146	352
ASIC3	128	99	184	106	14	128	115	377	71	40
ABCB8	191	138	485	227	58	390	200	401	13	294
SLC4A2	22	13	18	8	81	84	102	95	172	107
TMUB1	3	0	3	5	10	6	1	1	4	0
FASTK	64	46	77	38	45	61	32	52	32	123
ATG9B	2	2	14	3	4	2	6	2	3	4
CDK5	17	4	31	23	4	1	1	20	1	22
ABCF2	138	87	182	127	34	72	76	103	46	100
ASB10	0	0	1	0	2	0	0	0	0	0
CHPF2	41	28	158	69	45	134	13	93	22	74
IQCA1L	2	0	1	0	0	0	1	1	0	0
MIR671	0	0	0	0	0	0	0	0	0	0
GBX1	34	11	5	5	9	5	2	0	1	0
NUB1	591	615	765	587	214	586	311	638	424	287
WDR86-AS1	0	1	0	0	0	0	0	0	0	0
CRYGN	2	1	2	2	0	2	1	1	1	0
MIR3907	0	0	0	0	0	0	0	0	0	0
PRKAG2-AS1	3	0	85	54	44	3	1	18	2	1
GALNTL5	3	6	9	5	2	6	4	1	4	2
FABP5P3	2	2	2	0	0	6	0	2	2	0
LINC01003	10	8	8	11	7	15	78	40	30	47
XRCC2	24	18	38	55	4	34	6	25	2	14
LINC01287	6	16	8	11	1	13	0	9	0	5
PAXIP1-AS1	78	145	49	64	29	17	62	43	0	75
PAXIP1	2330	2517	858	761	307	861	322	517	761	492
PAXIP1-AS2	30	69	57	76	40	145	2	44	0	28
HTR5A	221	251	155	138	5	2	1	44	1	1
HTR5A-AS1	44	49	15	19	0	1	3	19	14	0
INSIG1	147	276	93	94	91	700	969	792	52	201
BLACE	1	2	1	3	3	1	1	0	0	3
EN2	425	481	758	793	63	217	79	94	1	12
CNPY1	395	519	787	652	92	213	16	67	2	30
LOC100506302	69	61	59	77	46	44	0	71	1	18
SHH	0	2	46	21	0	0	1	17	6	11
LOC389602	0	0	0	0	1	0	0	0	0	0
LOC285889	2	0	2	3	1	8	0	41	14	5
LINC00244	0	0	0	0	0	0	0	0	0	0
RNF32	531	485	666	456	195	942	135	405	149	306
C7orf13	12	16	55	10	0	0	4	24	0	7
MNX1	3	2	0	0	0	1	0	0	0	0
NOM1	111	94	163	152	110	243	140	297	71	265
MNX1-AS1	0	0	1	0	0	0	0	4	1	0
DNAJB6	588	553	654	464	657	760	967	680	348	489
LOC101927914	8	5	12	4	53	97	74	12	11	43
MIR153-2	0	0	0	0	0	0	0	0	0	0
LOC100506585	0	0	0	0	0	0	0	0	0	0
MIR5707	0	0	0	0	0	0	0	0	0	0
MIR595	0	0	0	0	0	0	0	0	0	0
LINC01022	0	0	4	0	0	0	0	0	0	0
NCAPG2	249	282	240	145	140	93	163	176	549	260
ESYT2	2615	2954	3219	2319	451	1477	516	1472	626	924
LINC00689	0	1	0	0	0	0	0	7	127	27
CSPP1	2094	2910	2417	2275	897	2046	1268	1472	650	1503
KAT6A	3798	5166	2662	2445	1913	3056	2733	2783	868	2051
RNF122	421	443	90	65	66	109	5	13	11	55
SNTG1	2278	2662	50211	44222	1458	200	2013	18254	18851	46786
ERICH1-AS1	10	16	187	192	226	306	50	64	150	143
CSMD1	13098	29132	202212	198520	6343	11073	3914	48227	33571	99480
MYOM2	68	586	32	48	30	483	191	163	400	128
FAM66B	233	303	341	245	45	266	186	421	222	444
TUSC3	4844	5881	2234	2080	191	137	108	459	467	1135
BLK	8	17	219	208	3	10	4	6	6	2
SGCZ	21213	21088	9036	4314	1285	1366	8156	7428	3843	12488
LOC729732	2699	2766	278	523	644	2767	198	813	429	1424
LOC102725080	0	0	0	0	97	315	0	0	0	0
TNFRSF10B	6	5	9	16	85	141	2	124	17	165
LOC286059	0	0	2	3	1	0	1	3	0	1
PSD3	12636	16445	14380	13163	5835	23630	8216	15362	5414	12605
RBPMS	1025	1084	962	907	132	809	90	244	44	98
NRG1	30954	47692	1612	1147	940	933	261	566	170	97
TACC1	1245	1295	2101	1354	690	2863	2325	2819	1000	1244
ERLIN2	192	196	405	301	146	394	126	403	103	680
ZMAT4	22	42	27	36	84	590	104	451	957	1468
UNC5D	33	68	62416	40186	1425	168	225	262	149	305
HOOK3	3149	4478	2704	2460	1340	3364	3036	3625	1022	3423
PXDNL	181	369	826	775	193	315	247	286	109	301
CHD7	12445	15222	257	358	2496	4446	4955	9464	5572	9481
DNAJC5B	9	8	3	11	5	4	7	6	6	3
LOC102724623	86	192	336	268	57	101	97	46	93	42
NKAIN3	480	256	182	151	254	1860	334	6383	8093	14748
EYA1	1	0	33	96	33	100	11	47	7	17
PREX2	6	4	1293	609	11980	32154	6533	10137	5511	13201
NCOA2	3696	4998	6669	5654	2515	4576	2003	4221	1086	4528
ZNF704	7890	9540	1178	1696	2392	9644	5468	8912	5692	10263
MMP16	4218	5476	6207	5738	362	934	591	13034	19675	34231
SLC26A7	10	14	14	26	67	239	87	66	21	32
CNBD1	28	48	50	67	57	38	73	54	83	37
STK3	81	109	947	1150	2533	3856	3830	2769	1076	1585
C8orf37-AS1	394	382	488	254	358	497	223	248	447	135
VPS13B	8103	10649	8467	6712	3946	5738	5295	6243	3649	5681
NCALD	44	54	382	122	2185	6032	723	3870	4444	8450
RSPO2	20	19	76	50	150	426	85	61	25	15
RIMS2	29619	40180	16143	14374	1130	619	558	4051	4384	9361
ZFPM2-AS1	542	695	144	130	529	136	31	59	27	13
CSMD3	2851	1759	10187	7832	688	3091	2075	15647	15966	34732
LINC01609	36	83	89	103	527	161	965	129	524	86
HAS2	0	0	3	0	1	1	2	156	28	344
LINC01151	43	86	4	4	1	3	0	1	0	0
SNTB1	61	74	24	74	680	6428	39	60	20	84
ANXA13	1	6	3	6	1	29	6	54	2	2
SAMD12	12072	12677	13004	10195	566	678	10129	17038	2197	4193
PVT1	56	27	421	136	142	197	158	1122	2028	2278
LINC01591	9	23	16	9	23	6	49	19	26	7
FAM135B	7961	6537	18422	12293	2723	8098	1175	2332	597	2653
TDRP	903	1228	1686	1211	443	880	8	311	108	359
ERICH1	151	337	293	365	116	321	176	566	38	134
DLGAP2-AS1	0	0	0	0	0	0	0	0	0	0
DLGAP2	5	6	186	160	466	1305	9	14	22	10
ARHGEF10	69	103	247	274	881	2461	2498	3094	1774	2620
LOC101927815	325	562	2395	2214	147	1608	8	415	98	1116
MCPH1	1062	1126	1694	1084	485	1106	571	1049	201	1016
XKR5	0	0	4	2	1	2	2	18	4	17
ANGPT2	0	0	0	0	0	0	0	0	0	0
MCPH1-AS1	636	774	1139	1001	351	1297	564	948	221	1046
DEFB104A	0	0	0	0	0	0	0	0	0	0
DEFB109P1B	13	12	13	7	3	33	9	37	5	33
DEFB104B	0	0	0	0	0	0	0	0	0	0
FAM66E	10	54	24	43	18	46	34	64	60	46
MSRA	46237	50016	17735	14882	4310	10385	5165	7389	2781	6403
TNKS	6470	9172	5164	4726	1631	5008	2844	6297	2601	6690
RP1L1	8	19	10	23	3	0	6	5	2	6
XKR6	17041	22229	9809	7920	1363	1480	1165	4315	3471	8294
FAM167A-AS1	17	22	76	136	187	1003	13	9	36	15
FDFT1	417	511	413	355	397	1502	3348	2539	574	1632
FAM86B1	51	46	74	48	6	95	56	53	10	30
LOC100506990	959	1180	987	968	498	1487	542	621	479	1084
DLC1	217	37	1248	1696	6193	24472	8575	9918	3115	6697
KIAA1456	8155	10717	2202	1936	1547	3737	88	683	279	611
MSR1	53	558	7	3	157	23	4	5	7	5
SLC7A2	83	32	5	7	380	669	637	254	68	735
MTUS1	5173	5839	4360	3768	1230	3240	5166	5840	1102	698
ZDHHC2	3371	4582	47	67	261	542	1494	1118	863	885
MICU3	4176	6540	3207	2637	816	1391	873	1697	1061	1569
MTMR7	3383	4105	2186	1935	116	149	2512	3223	1305	2868
NAT1	7	15	8	9	5	31	5	3	3	4
PCM1	5523	9592	6368	7881	3894	7281	4771	9089	2555	4387
LOC101929066	74	127	151	110	9	78	11	48	4	9
CSGALNACT1	7	12	55	50	1193	1054	118	2395	2565	6513
GFRA2	1	3	225	81	5	10	1	2	4	1
PEBP4	91	54	124	54	144	573	72	48	57	61
SLC39A14	386	368	861	398	71	198	25	121	112	128
PIWIL2	29	46	46	52	50	125	36	42	21	15
LGI3	27	14	322	85	2	5	144	493	1	114
TNFRSF10A	1	2	4	0	6	1	1	0	1	2
LOXL2	528	507	3282	1915	147	280	152	471	118	116
LOC101929315	0	0	0	0	0	0	0	0	0	0
LOC101929294	12	13	856	527	22	1	6	14	9	2
DOCK5	10	18	38	95	1170	5818	13292	12819	375	634
EBF2	2	5	3	9	7	6	10	2	9	6
KCTD9	324	483	433	400	218	552	64	246	24	368
PPP2R2A	1529	1892	1175	1106	1073	2149	1981	4209	2084	4277
DPYSL2	6114	6331	6531	4830	2785	5548	8678	10528	1290	4013
ELP3	1225	1737	1434	1098	524	1103	828	1131	590	1990
EPHX2	245	293	882	500	133	858	217	261	154	395
PTK2B	6032	5826	175	187	553	1522	272	965	161	256
SCARA5	4	4	22	8	11	14	10	19	6	3
NUGGC	1	3	2	3	1	3	10	1	3	5
SCARA3	176	93	20	50	1581	7465	161	376	82	173
ESCO2	5	0	5	8	2	1	1	1	2	1
FBXO16	591	819	768	739	46	243	57	272	179	432
EXTL3	362	306	609	564	194	319	189	529	48	423
HMBOX1	2394	3438	2246	2248	1202	2551	1909	2902	805	3405
INTS9	487	549	899	680	265	527	587	830	242	821
FZD3	1902	2702	1830	1812	1187	2339	105	568	427	1095
KIF13B	309	312	1328	1027	691	1126	5977	5411	710	1384
LOC101929450	1	4	5	1	18	3	8	3	8	1
WRN	1102	1774	1153	1263	478	1028	862	1101	1138	1198
PPP2CB	419	404	523	427	148	812	243	344	785	249
NRG1-IT1	0	0	0	0	0	0	0	0	0	0
FUT10	594	913	3386	2034	696	2066	358	486	1058	760
LINC01605	47	70	36	16	12	17	25	12	21	19
KCNU1	4	10	16	12	65	204	82	11	45	5
LETM2	1088	1232	168	90	134	503	4	269	115	470
RAB11FIP1	100	84	257	123	13	14	2	5	2	3
ADAM3A	2	9	4	2	5	2	6	2	4	2
ADAM18	6	10	7	13	9	5	9	11	2	2
ADAM9	2566	2860	1088	665	463	522	515	499	892	552
ADAM5	2	7	5	6	2	1	3	0	5	4
PLEKHA2	5	3	377	253	308	518	671	949	518	2931
ADAM32	537	625	648	460	183	208	554	356	205	636
IDO2	4	3	2	6	5	2	14	4	4	5
ANK1	7469	5704	2457	2224	337	463	41	333	98	115
SFRP1	668	547	3	9	119	82	30	244	7	36
LOC102723729	70	95	27	22	29	35	17	55	78	54
SLC20A2	3094	4602	1527	1429	2209	10489	2291	2597	814	1452
CHRNB3	61	127	3	5	2	6	4	10	2	1
RNF170	508	817	780	735	375	778	386	892	645	613
PLAT	123	321	88	42	132	91	117	518	1723	845
POMK	291	290	316	224	64	253	180	184	73	169
SPIDR	8927	11359	10520	10012	3289	5293	5641	6069	3016	6438
MCM4	81	70	274	198	47	76	34	91	6	48
PRKDC	1880	1825	2776	1779	863	1517	1438	2007	433	1757
LOC101929268	10	27	2	3	5	4	4	3	11	27
ST18	10568	11846	150	504	211	363	44629	58373	468	3589
RB1CC1	2745	4431	2387	2379	1138	2163	1526	1786	613	2275
FAM150A	8	2	1	6	1	3	1	2	3	1
ATP6V1H	2207	2739	2642	2090	897	1246	932	962	1042	756
RGS20	111	226	118	155	2848	10121	24	44	23	31
TCEA1	664	968	644	554	510	732	362	572	220	585
XKR4	4670	7408	61652	47937	925	204	556	11680	8168	24274
LYN	1292	1329	69	89	669	210	15	115	30	461
LOC101929415	3	5	6	4	5	3	6	1	2	0
FAM110B	5063	4294	2779	1888	776	1576	224	2574	3267	5473
NSMAF	1294	1736	1794	1579	505	1025	243	1285	688	1411
TOX	76	50	47	88	1625	8594	441	5424	5338	12160
RAB2A	3195	4150	2614	2241	1038	2028	1486	3093	2745	4513
ASPH	5263	7668	3488	4811	3134	8811	896	3068	1802	5023
CLVS1	3094	4795	10173	8106	209	503	235	1339	559	2405
YTHDF3	1183	1259	1252	849	661	655	476	601	321	932
CYP7B1	616	889	2489	2341	177	822	272	2564	340	2068
MTFR1	226	299	271	185	115	129	337	292	55	190
PDE7A	2494	2651	2625	1918	533	807	2789	2064	743	1781
LINC01299	0	1	8	4	1	1	187	266	3	5
MYBL1	92	89	192	163	20	15	81	100	3	97
C8orf44-SGK3	335	485	445	356	197	485	757	256	250	351
SGK3	0	0	0	0	0	0	0	0	0	0
ADHFE1	239	338	710	856	704	3592	736	628	162	577
CPA6	15	21	98	50	73	54	31	20	34	12
ARFGEF1	2348	3110	3924	2593	1167	1952	1603	2421	810	2371
C8orf34	4143	3776	602	330	153	110	95	76	42	134
LINC01592	14	16	12	15	4	14	23	6	21	10
SLCO5A1	7	22	28	57	25	16	27	108	49	231
SULF1	2	3	14	12	223	1602	12	25	14	66
LACTB2	0	0	26	11	0	8	1	27	0	21
LACTB2-AS1	9	9	60	100	29	62	49	77	9	205
MSC-AS1	5	9	14	25	9	50	15	8	14	6
LOC392232	5	5	1	4	5	3	10	5	6	3
KCNB2	36	60	759	450	49	71	48	45	58	41
LOC101926908	0	0	0	0	0	0	0	0	0	0
STAU2	7190	9972	8225	6878	1939	3086	3073	2665	3105	3394
UBE2W	1850	2561	2259	1876	873	1198	905	1053	949	1443
JPH1	2923	3208	1882	1339	182	522	42	267	135	53
CASC9	2	5	4	5	6	3	4	0	3	4
PI15	14	10	13	21	8	22	11	23	4	97
MIR2052HG	286	365	660	574	191	809	247	554	281	643
LINC01111	13	12	8	10	27	8	24	21	24	41
ZFHX4-AS1	3	8	2	2	12	5	47	51	5	9
ZFHX4	97	328	29	26	137	542	979	2096	399	274
LOC102724874	1	2	1	2	3	0	2	0	6	1
IL7	245	381	71	85	40	81	30	46	66	62
MRPS28	1599	2139	1257	1002	1151	1654	855	1593	1441	2088
TPD52	3133	3591	1585	1413	182	106	2690	2538	728	1467
LOC101927040	62	85	171	167	41	77	10	42	24	86
IMPA1	345	449	370	325	243	147	108	159	149	105
PAG1	6520	7357	1597	1410	1970	4181	609	2278	765	3270
FABP12	0	0	0	0	0	10	1	0	0	0
RALYL	62607	100038	14589	13424	1763	2069	971	6440	8356	12713
E2F5	151	155	79	66	96	312	10	160	78	363
CA3-AS1	8	10	52	30	2	50	7	79	1	12
ATP6V0D2	2	4	2	7	7	4	10	71	7	10
RMDN1	412	612	771	766	264	509	413	554	213	330
WWP1	1546	1873	2517	2212	620	1102	1875	1546	374	1524
CNGB3	36	57	41	43	15	18	32	28	16	13
OSGIN2	361	427	357	298	144	385	99	161	37	71
RIPK2	103	63	126	102	101	227	202	228	196	159
DECR1	676	781	1799	1446	770	1922	412	1028	685	1393
NECAB1	75	75	140	114	34	413	1601	2374	66	714
C8orf88	37	45	37	26	19	48	62	32	36	23
LINC00534	65	53	376	378	87	169	461	122	24	54
RUNX1T1	16317	22202	1644	1589	2109	5400	387	2836	2115	4337
TRIQK	1017	1641	590	620	354	742	1045	790	242	445
FAM92A1	767	1115	951	894	297	1143	352	682	306	867
LINC00535	101	126	757	604	189	327	50	159	74	356
DPY19L4	195	246	241	230	248	282	221	366	251	275
